Player,Position,Team,Opponent,Pass Yds,Pass Yds,Pass Interceptions,Rush Yds,Rush TD,Receptions,Receiving Yds,Receiving TD,Sacks,Received Interceptions,Fumbles Forced,Fumbles Rec,Points
Joe Flacco,QB,BAL,KC,26,43,61,307,7,3,1,96,5,18,4,0,28.08
Tom Brady,QB,NE,BUF,39,53,74,378,7,2,1,98,1,9,9,0,26.02
Matt Hasselbeck,QB,SEA,LAR,25,36,69,279,8,3,2,97,1,3,3,0,21.46
Ben Roethlisberger,QB,PIT,TEN,33,43,77,363,8,1,2,90,1,3,3,0,19.82
Trent Edwards,QB,BUF,NE,15,25,60,212,9,2,0,114,2,25,13,0,18.98
Donovan McNabb,QB,PHI,CAR,10,18,56,79,4,2,1,81,4,27,7,1,18.86
Peyton Manning,QB,IND,JAX,28,38,74,301,8,1,1,94,3,-4,-1,0,17.64
Matt Ryan,QB,ATL,MIA,22,36,61,229,6,2,0,98,3,-4,-1,0,16.76
Byron Leftwich,QB,TB,DAL,25,41,61,276,7,1,0,89,3,3,1,0,15.34
Brodie Croyle,QB,KC,BAL,16,24,67,177,7,2,0,116,0,0,0,0,15.08
Mark Sanchez,QB,NYJ,HOU,18,31,58,272,9,1,1,84,5,6,1,0,14.48
Aaron Rodgers,QB,GB,CHI,17,28,61,184,7,1,0,92,3,7,2,0,14.06
Kyle Orton,QB,DEN,CIN,17,28,61,243,9,1,0,101,1,3,3,0,14.02
Kurt Warner,QB,ARI,SF,26,44,59,288,7,1,2,67,2,-4,-2,0,13.12
Philip Rivers,QB,LAC,OAK,24,36,67,252,7,1,1,84,1,-1,-1,0,12.98
Kerry Collins,QB,TEN,PIT,22,35,63,244,7,1,1,81,2,1,1,0,12.86
Jay Cutler,QB,CHI,GB,17,36,47,277,8,1,4,43,3,16,5,0,12.68
Brady Quinn,QB,CLE,MIN,21,35,60,205,6,1,1,74,2,21,11,0,12.30
Jason Campbell,QB,WAS,NYG,19,26,73,211,8,1,1,94,1,16,16,0,12.04
Eli Manning,QB,NYG,WAS,20,29,69,256,9,1,1,93,3,-3,-1,0,11.94
Shaun Hill,QB,SF,ARI,18,31,58,209,7,1,0,89,0,0,0,0,11.36
Matthew Stafford,QB,DET,NO,16,37,43,205,6,0,3,27,2,0,0,1,11.20
JaMarcus Russell,QB,OAK,LAC,12,30,40,208,7,1,2,48,2,6,3,0,10.92
Chad Pennington,QB,MIA,ATL,21,29,72,176,6,1,1,85,0,0,0,0,9.04
Brett Favre,QB,MIN,CLE,14,21,67,110,5,1,0,95,0,0,0,0,8.40
Carson Palmer,QB,CIN,DEN,21,33,64,247,8,0,2,61,1,2,2,0,8.08
Marc Bulger,QB,LAR,SEA,17,36,47,191,5,0,0,64,1,2,2,0,7.84
David Garrard,QB,JAX,IND,14,28,50,122,4,0,0,62,4,14,4,0,6.28
Matt Schaub,QB,HOU,NYJ,18,33,55,166,5,0,1,56,1,6,6,0,6.24
Seneca Wallace,QB,SEA,LAR,0,0,0,0,0,0,0,0,0,0,0,0,3.40
Matt Moore,QB,CAR,PHI,6,11,55,63,6,0,1,34,0,0,0,0,1.52
Bruce Gradkowski,QB,OAK,LAC,2,2,100,17,9,0,0,102,0,0,0,0,0.68
Kevin Kolb,QB,PHI,CAR,7,11,64,23,2,0,0,68,3,4,1,0,0.32
Josh McCown,QB,CAR,PHI,1,6,17,2,0,0,0,40,0,0,0,0,0.08
Pat White,QB,MIA,ATL,0,1,0,0,0,0,0,40,1,0,0,0,0.00
Troy Smith,QB,BAL,KC,0,0,0,0,0,0,0,0,0,0,0,0,0.00
Mark Brunell,QB,NO,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.00
Matt Flynn,QB,GB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0.00
Tarvaris Jackson,QB,MIN,CLE,0,1,0,0,0,0,0,40,1,-1,-1,0,-0.10
Jake Delhomme,QB,CAR,PHI,7,17,41,73,4,0,4,15,2,9,5,0,-1.18
Randy Moss,WR,NE,BUF,16,12,75,141,0,31,9,12,0,0,0,0,29.10
Greg Jennings,WR,GB,CHI,8,6,75,106,1,50,13,18,0,0,0,0,27.60
Patrick Crayton,WR,DAL,TB,6,4,67,135,1,80,23,34,1,5,0,0,27.00
Devery Henderson,WR,NO,DET,8,5,63,103,1,58,13,21,0,0,0,0,24.30
Wes Welker,WR,NE,BUF,16,12,75,93,0,14,6,8,0,0,0,0,21.30
Justin Gage,WR,TEN,PIT,11,7,64,78,1,16,7,11,0,0,0,0,20.80
Hines Ward,WR,PIT,TEN,10,8,80,103,0,30,10,13,0,0,0,1,20.30
Mark Clayton,WR,BAL,KC,9,5,56,77,1,31,9,15,1,9,0,0,19.60
Nate Burleson,WR,SEA,LAR,11,7,64,74,1,13,7,11,0,0,0,2,19.40
Larry Fitzgerald,WR,ARI,SF,11,6,55,71,1,25,7,12,0,0,0,0,19.10
Devin Hester,WR,CHI,GB,4,4,100,90,1,36,23,23,0,0,0,0,19.00
Louis Murphy,WR,OAK,LAC,9,4,44,87,1,57,10,22,0,0,0,0,18.70
Roy Williams,WR,DAL,TB,7,3,43,86,1,66,12,29,0,0,0,0,17.60
Antwaan Randle El,WR,WAS,NYG,9,7,78,98,0,35,11,14,0,0,0,0,16.80
Vincent Jackson,WR,LAC,OAK,7,5,71,56,1,17,8,11,0,0,0,0,16.60
Chansi Stuckey,WR,NYJ,HOU,8,4,50,64,1,30,8,16,0,0,0,0,16.40
Brandon Stokley,WR,DEN,CIN,4,1,25,87,1,87,22,87,0,0,0,0,15.70
Jerricho Cotchery,WR,NYJ,HOU,7,6,86,90,0,25,13,15,0,0,0,0,15.00
Percy Harvin,WR,MIN,CLE,4,3,75,36,1,21,9,12,2,22,0,0,14.80
Mario Manningham,WR,NYG,WAS,4,3,75,58,1,30,15,19,0,0,0,0,14.80
Chad Johnson,WR,CIN,DEN,7,5,71,89,0,34,13,18,1,8,0,0,14.70
Michael Clayton,WR,TB,DAL,8,5,63,93,0,47,12,19,0,0,0,0,14.30
Dwayne Bowe,WR,KC,BAL,5,4,80,40,1,24,8,10,0,0,0,0,14.00
Steve Smith,WR,NYG,WAS,8,6,75,80,0,26,10,13,0,0,0,0,14.00
Laurent Robinson,WR,LAR,SEA,10,5,50,87,0,45,9,17,0,0,0,0,13.70
Earl Bennett,WR,CHI,GB,13,7,54,66,0,21,5,9,0,0,0,0,13.60
Robert Meachem,WR,NO,DET,2,2,100,51,1,39,26,26,0,0,0,0,13.10
Davone Bess,WR,MIA,ATL,7,7,100,57,0,21,8,8,0,0,0,0,12.70
Kenny Britt,WR,TEN,PIT,6,4,67,85,0,57,14,21,0,0,0,0,12.50
Jerheme Urban,WR,ARI,SF,7,5,71,74,0,40,11,15,0,0,0,0,12.40
DeSean Jackson,WR,PHI,CAR,7,2,29,9,0,6,1,5,2,33,0,0,12.20
Marques Colston,WR,NO,DET,6,3,50,30,1,14,5,10,0,0,0,0,12.00
