Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Steve Smith,WR,4,NYG,KC,16,11,69,134,2,25,8,12,0,0,0,0,0,39.40,2009
2,Mike Sims-Walker,WR,4,JAX,TEN,11,7,64,91,2,19,8,13,0,0,0,0,0,28.10,2009
3,Mohamed Massaquoi,WR,4,CLE,CIN,13,8,62,148,0,30,11,19,0,0,0,0,0,25.80,2009
4,Calvin Johnson,WR,4,DET,CHI,12,8,67,133,0,45,11,17,1,12,0,0,0,25.50,2009
5,Hines Ward,WR,4,PIT,LAC,11,8,73,113,0,26,10,14,0,0,0,0,0,22.30,2009
6,Derrick Mason,WR,4,BAL,NE,11,7,64,88,1,20,8,13,0,0,0,0,0,21.80,2009
7,TJ Houshmandzadeh,WR,4,SEA,IND,11,8,73,103,0,20,9,13,0,0,0,0,0,21.30,2009
8,Kenny Britt,WR,4,TEN,JAX,11,7,64,105,0,42,10,15,0,0,0,0,0,20.50,2009
9,Nate Washington,WR,4,TEN,JAX,12,7,58,66,1,15,6,9,0,0,0,0,0,19.60,2009
10,Bernard Berrian,WR,4,MIN,GB,10,6,60,75,1,31,8,13,0,0,0,0,0,19.50,2009
11,Reggie Wayne,WR,4,IND,SEA,11,6,55,74,1,21,7,12,0,0,0,0,0,19.40,2009
12,Brandon Marshall,WR,4,DEN,DAL,6,4,67,91,1,51,15,23,0,0,0,0,0,19.10,2009
13,Austin Collie,WR,4,IND,SEA,7,6,86,65,1,21,9,11,0,0,0,0,0,18.50,2009
14,Sidney Rice,WR,4,MIN,GB,6,5,83,70,1,24,12,14,0,0,0,0,0,18.00,2009
15,Chad Johnson,WR,4,CIN,CLE,11,3,27,24,2,17,2,8,0,0,0,0,0,17.40,2009
16,Santana Moss,WR,4,WAS,TB,4,2,50,74,1,59,19,37,0,0,0,0,0,15.40,2009
17,Antonio Bryant,WR,4,TB,WAS,5,4,80,44,1,27,9,11,0,0,0,0,0,14.40,2009
18,Johnny Knox,WR,4,CHI,DET,8,5,63,31,0,10,4,6,0,0,0,0,0,14.10,2009
19,Randy Moss,WR,4,NE,BAL,5,3,60,50,1,20,10,17,0,0,0,0,0,14.00,2009
20,Chris Chambers,WR,4,LAC,PIT,8,4,50,39,1,17,5,10,0,0,0,0,0,13.90,2009
21,Jordy Nelson,WR,4,GB,MIN,4,3,75,47,1,33,12,16,0,0,0,1,0,13.70,2009
22,Hakeem Nicks,WR,4,NYG,KC,3,1,33,54,1,54,18,54,0,0,0,0,0,12.40,2009
23,Jerricho Cotchery,WR,4,NYJ,NO,9,5,56,71,0,27,8,14,0,0,0,0,0,12.10,2009
24,Josh Morgan,WR,4,SF,LAR,4,2,50,39,1,24,10,20,0,0,0,0,0,11.90,2009
25,Deion Branch,WR,4,SEA,IND,6,6,100,49,0,22,8,8,0,0,0,0,0,10.90,2009
26,Wes Welker,WR,4,NE,BAL,10,6,60,48,0,15,5,8,0,0,0,0,0,10.80,2009
27,Pierre Garcon,WR,4,IND,SEA,4,3,75,71,0,35,18,24,0,0,0,0,0,10.10,2009
28,Santonio Holmes,WR,4,PIT,LAC,5,4,80,52,0,15,10,13,1,7,0,0,0,9.90,2009
29,Brian Hartline,WR,4,MIA,BUF,2,2,100,17,1,12,9,9,1,-1,0,0,0,9.60,2009
30,Vincent Jackson,WR,4,LAC,PIT,7,4,57,56,0,16,8,14,0,0,0,0,0,9.60,2009
31,Donald Driver,WR,4,GB,MIN,6,4,67,55,0,24,9,14,0,0,0,0,0,9.50,2009
32,Mark Clayton,WR,4,BAL,NE,10,5,50,45,0,13,5,9,0,0,0,0,0,9.50,2009
