Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Baltimore Ravens,DST,11,BAL,CAR,8,3,6,2,0,0,2,0,13,23.00,2010
2,Cleveland Browns,DST,11,CLE,JAX,3,4,8,4,2,0,1,0,24,22.00,2010
3,Tampa Bay Buccaneers,DST,11,TB,SF,6,6,12,1,1,0,0,0,0,20.00,2010
4,Pittsburgh Steelers,DST,11,PIT,OAK,7,6,5,2,1,0,0,0,3,19.00,2010
5,Chicago Bears,DST,11,CHI,MIA,8,6,6,1,0,0,0,0,0,18.00,2010
6,Buffalo Bills,DST,11,BUF,CIN,4,2,8,2,1,0,1,0,31,14.00,2010
7,Dallas Cowboys,DST,11,DAL,DET,6,3,8,1,1,0,0,1,19,14.00,2010
8,Green Bay Packers,DST,11,GB,MIN,4,1,7,1,1,0,0,0,3,12.00,2010
9,Tennessee Titans,DST,11,TEN,WAS,10,3,10,1,0,0,0,1,19,12.00,2010
10,Philadelphia Eagles,DST,11,PHI,NYG,4,0,0,3,2,0,0,0,17,11.00,2010
11,Jacksonville Jaguars,DST,11,JAX,CLE,8,6,8,1,0,0,0,0,20,9.00,2010
12,New York Giants,DST,11,NYG,PHI,5,3,3,0,2,0,0,0,27,9.00,2010
13,Los Angeles Chargers,DST,11,LAC,DEN,6,5,5,1,0,0,0,0,14,8.00,2010
14,Carolina Panthers,DST,11,CAR,BAL,8,3,5,0,2,0,0,0,37,7.00,2010
15,Cincinnati Bengals,DST,11,CIN,BUF,3,1,5,2,0,0,1,0,49,7.00,2010
16,Houston Texans,DST,11,HOU,NYJ,6,3,7,1,1,0,0,0,30,6.00,2010
17,Kansas City Chiefs,DST,11,KC,ARI,2,2,7,0,0,0,0,0,13,6.00,2010
18,Miami Dolphins,DST,11,MIA,CHI,10,3,4,1,0,0,0,0,16,6.00,2010
19,Washington Redskins,DST,11,WAS,TEN,3,1,3,1,1,0,0,0,16,6.00,2010
20,New England Patriots,DST,11,NE,IND,2,0,3,3,0,0,0,0,28,5.00,2010
21,New Orleans Saints,DST,11,NO,SEA,3,0,1,0,2,0,0,0,19,5.00,2010
22,Atlanta Falcons,DST,11,ATL,LAR,5,0,1,1,0,0,0,0,17,3.00,2010
23,New York Jets,DST,11,NYJ,HOU,4,1,4,0,1,0,0,0,27,3.00,2010
24,Seattle Seahawks,DST,11,SEA,NO,3,0,1,2,0,0,0,0,34,3.00,2010
25,Detroit Lions,DST,11,DET,DAL,4,2,4,0,1,1,0,0,35,2.00,2010
26,Minnesota Vikings,DST,11,MIN,GB,6,3,4,0,0,0,0,0,31,2.00,2010
27,San Francisco 49ers,DST,11,SF,TB,3,2,5,0,0,0,0,0,21,2.00,2010
28,Indianapolis Colts,DST,11,IND,NE,2,1,2,0,0,0,0,0,31,0.00,2010
29,Oakland Raiders,DST,11,OAK,PIT,6,2,3,0,1,0,0,0,35,0.00,2010
30,Arizona Cardinals,DST,11,ARI,KC,2,0,1,0,0,0,0,0,31,-1.00,2010
31,Denver Broncos,DST,11,DEN,LAC,4,1,2,1,0,0,0,0,35,-1.00,2010
32,Los Angeles Rams,DST,11,LAR,ATL,2,0,2,0,0,0,0,0,34,-1.00,2010
