Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,CJ Spiller,RB,15,BUF,MIA,12,91,8,1,11,9,76,1,0,0,37.70,2011
2,LeSean McCoy,RB,15,PHI,NYJ,18,102,6,3,2,2,-5,0,1,1,31.70,2011
3,Reggie Bush,RB,15,MIA,BUF,25,203,8,1,1,1,6,0,1,1,29.90,2011
4,Arian Foster,RB,15,HOU,CAR,16,109,7,1,6,5,58,0,1,1,29.70,2011
5,Donald Brown,RB,15,IND,TEN,16,161,10,1,1,1,2,0,0,0,26.30,2011
6,Ryan Mathews,RB,15,LAC,BAL,26,90,4,2,2,2,19,0,1,0,24.90,2011
7,Steven Jackson,RB,15,LAR,CIN,18,71,4,0,10,9,72,0,0,0,23.30,2011
8,Darren Sproles,RB,15,NO,MIN,8,33,4,0,6,5,79,1,0,0,22.20,2011
9,Toby Gerhart,RB,15,MIN,NO,2,12,6,0,4,4,46,2,0,0,21.80,2011
10,Kahlil Bell,RB,15,CHI,SEA,15,65,4,0,6,5,43,1,0,0,21.80,2011
11,Michael Bush,RB,15,OAK,DET,18,77,4,0,7,7,62,0,0,0,20.90,2011
12,Ray Rice,RB,15,BAL,LAC,10,57,6,0,11,9,55,0,0,0,20.20,2011
13,Felix Jones,RB,15,DAL,TB,22,108,5,0,4,3,23,0,1,0,19.10,2011
14,Chris Johnson,RB,15,TEN,IND,15,55,4,0,11,8,54,0,0,0,18.90,2011
15,Marshawn Lynch,RB,15,SEA,CHI,20,42,2,2,2,2,5,0,0,0,18.70,2011
16,Peyton Hillis,RB,15,CLE,ARI,26,99,4,1,3,1,9,0,0,0,17.80,2011
17,Lance Ball,RB,15,DEN,NE,11,64,6,1,4,2,41,0,1,1,17.50,2011
18,Ahmad Bradshaw,RB,15,NYG,WAS,10,58,6,1,4,3,21,0,0,0,16.90,2011
19,Pierre Thomas,RB,15,NO,MIN,8,44,6,1,2,2,41,0,0,0,16.50,2011
20,Cedric Benson,RB,15,CIN,LAR,22,76,4,1,2,1,11,0,3,0,15.70,2011
21,Maurice Jones-Drew,RB,15,JAX,ATL,17,112,7,0,1,1,1,0,0,0,15.30,2011
22,Michael Turner,RB,15,ATL,JAX,19,61,3,1,2,2,4,0,0,0,14.50,2011
23,Mike Tolbert,FB,15,LAC,BAL,8,40,5,1,2,2,18,0,0,0,13.80,2011
24,Chris Wells,RB,15,ARI,CLE,15,51,3,1,1,1,10,0,0,0,13.10,2011
25,Ryan Grant,RB,15,GB,KC,12,66,6,0,5,3,35,0,0,0,13.10,2011
26,BenJarvus Green-Ellis,RB,15,NE,DEN,10,17,2,1,2,2,32,0,0,0,12.90,2011
27,Frank Gore,RB,15,SF,PIT,18,65,4,1,3,0,0,0,0,0,12.50,2011
28,Danny Woodhead,RB,15,NE,DEN,7,40,6,1,1,1,12,0,0,0,12.20,2011
29,DeAngelo Williams,RB,15,CAR,HOU,15,61,4,1,0,0,0,0,0,0,12.10,2011
30,Rashard Mendenhall,RB,15,PIT,SF,15,64,4,0,4,3,25,0,0,0,11.90,2011
31,Jackie Battle,FB,15,KC,GB,10,37,4,1,1,1,7,0,0,0,11.40,2011
32,Kregg Lumpkin,RB,15,TB,DAL,0,0,0,0,8,5,50,0,0,0,10.00,2011
33,Roy Helu,RB,15,WAS,NYG,23,53,2,0,4,3,16,0,0,0,9.90,2011
34,Jason Snelling,RB,15,ATL,JAX,5,22,4,0,4,4,26,0,0,0,8.80,2011
35,Tashard Choice,RB,15,BUF,MIA,5,15,3,0,3,3,41,0,1,0,8.60,2011
36,LeRon McClain,RB,15,KC,GB,4,20,5,0,5,4,26,0,0,0,8.60,2011
37,Thomas Jones,RB,15,KC,GB,15,48,3,0,1,1,27,0,0,0,8.50,2011
38,Darrel Young,FB,15,WAS,NYG,4,14,4,1,1,1,0,0,0,0,8.40,2011
39,Shonn Greene,RB,15,NYJ,PHI,18,73,4,0,4,1,0,0,0,0,8.30,2011
40,Richie Brockel,FB,15,CAR,HOU,1,7,7,1,1,1,4,0,0,0,8.10,2011
41,Bernard Scott,RB,15,CIN,LAR,7,20,3,1,0,0,0,0,0,0,8.00,2011
42,Chris Ivory,RB,15,NO,MIN,18,74,4,0,0,0,0,0,0,0,7.40,2011
43,Michael Robinson,RB,15,SEA,CHI,0,0,0,0,2,1,2,1,0,0,7.20,2011
44,Marcel Reece,FB,15,OAK,DET,1,26,26,0,3,3,16,0,0,0,7.20,2011
45,Jonathan Stewart,RB,15,CAR,HOU,11,43,4,0,3,2,8,0,0,0,7.10,2011
46,Willis McGahee,RB,15,DEN,NE,7,70,10,0,0,0,0,0,0,0,7.00,2011
47,Lawrence Vickers,FB,15,HOU,CAR,0,0,0,0,4,4,29,0,0,0,6.90,2011
48,Stevan Ridley,RB,15,NE,DEN,11,65,6,0,0,0,0,0,0,0,6.50,2011
49,LaDainian Tomlinson,RB,15,NYJ,PHI,3,9,3,0,4,4,12,0,0,0,6.10,2011
50,Adrian Peterson,RB,15,MIN,NO,10,60,6,0,1,0,0,0,0,0,6.00,2011
