Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Antonio Gates,TE,6,LAC,DEN,10,6,60,81,2,23,8,14,0,0,0,0,0,26.10,2012
2,Kyle Rudolph,TE,6,MIN,WAS,11,6,55,56,1,18,5,9,0,0,0,0,0,19.60,2012
3,Jermaine Gresham,TE,6,CIN,CLE,7,3,43,68,1,55,10,23,0,0,0,0,0,15.80,2012
4,Aaron Hernandez,TE,6,NE,SEA,9,6,67,30,1,10,3,5,0,0,0,0,0,15.00,2012
5,Jason Witten,TE,6,DAL,BAL,7,6,86,88,0,35,13,15,0,0,0,0,0,14.80,2012
6,Tom Crabtree,TE,6,GB,HOU,3,2,67,62,1,48,21,31,0,0,0,0,0,14.20,2012
7,Anthony Fasano,TE,6,MIA,LAR,6,4,67,33,1,13,6,8,0,0,0,0,0,13.30,2012
8,Heath Miller,TE,6,PIT,TEN,9,6,67,67,0,17,7,11,0,0,0,0,0,12.70,2012
9,Rob Gronkowski,TE,6,NE,SEA,9,6,67,61,0,20,7,10,0,0,0,0,0,12.10,2012
10,Joel Dreessen,TE,6,DEN,LAC,7,6,86,57,0,19,8,10,0,0,0,0,0,11.70,2012
11,Brandon Myers,TE,6,OAK,ATL,7,5,71,62,0,18,9,12,0,0,0,0,0,11.20,2012
12,Tony Scheffler,TE,6,DET,PHI,5,3,60,81,0,57,16,27,0,0,0,0,0,11.10,2012
13,Jared Cook,TE,6,TEN,PIT,4,4,100,54,0,25,14,14,0,0,0,0,0,9.40,2012
14,Benjamin Watson,TE,6,CLE,CIN,4,2,50,6,1,3,2,3,0,0,0,0,0,8.60,2012
15,Tony Gonzalez,TE,6,ATL,OAK,7,4,57,42,0,13,6,11,0,0,0,0,0,8.20,2012
16,Coby Fleener,TE,6,IND,NYJ,6,4,67,42,0,12,7,11,0,0,0,0,0,8.20,2012
17,Steve Maneri,TE,6,KC,TB,5,4,80,41,0,19,8,10,0,0,0,0,0,8.10,2012
18,Lance Kendricks,TE,6,LAR,MIA,4,4,100,40,0,23,10,10,0,0,0,0,0,8.00,2012
19,Fred Davis,TE,6,WAS,MIN,4,3,75,46,0,16,12,15,0,0,0,0,0,7.60,2012
20,Owen Daniels,TE,6,HOU,GB,5,3,60,46,0,27,9,15,0,0,0,0,0,7.60,2012
21,Dennis Pitta,TE,6,BAL,DAL,5,4,80,33,0,9,7,8,0,0,0,0,0,7.30,2012
22,Brent Celek,TE,6,PHI,DET,8,4,50,33,0,11,4,8,0,0,0,0,0,7.30,2012
23,Brandon Pettigrew,TE,6,DET,PHI,7,3,43,38,0,16,5,13,0,0,0,0,0,6.80,2012
24,Vernon Davis,TE,6,SF,NYG,5,3,60,37,0,24,7,12,0,0,0,0,0,6.70,2012
25,Jordan Cameron,TE,6,CLE,CIN,3,2,67,38,0,23,13,19,0,0,0,0,0,5.80,2012
26,Garrett Graham,TE,6,HOU,GB,5,3,60,25,0,11,5,8,0,0,0,0,0,5.50,2012
27,Dwayne Allen,TE,6,IND,NYJ,4,2,50,33,0,21,8,17,0,0,0,0,0,5.30,2012
28,James Casey,TE,6,HOU,GB,2,2,100,27,0,15,14,14,0,0,0,0,0,4.70,2012
29,Jacob Tamme,TE,6,DEN,LAC,2,2,100,27,0,25,14,14,0,0,0,0,0,4.70,2012
30,Daniel Fells,TE,6,NE,SEA,1,1,100,35,0,35,35,35,0,0,0,0,0,4.50,2012
31,Zach Miller,TE,6,SEA,NE,2,2,100,29,0,22,15,15,0,0,0,1,1,3.90,2012
32,Matthew Mulligan,TE,6,LAR,MIA,2,2,100,15,0,9,8,8,0,0,0,0,0,3.50,2012
33,Rob Housler,TE,6,ARI,BUF,3,2,67,12,0,6,4,6,0,0,0,0,0,3.20,2012
