,Player,Position,Team,Opponent,Points,PlayerID
0,Peyton Manning,QB,DEN,IND,29.34,00-0010346
1,Matthew Stafford,QB,DET,CIN,29.28,00-0026498
2,Robert Griffin III,QB,WAS,CHI,27.32,00-0029532
3,Jake Locker,QB,TEN,SF,25.94,00-0027946
4,Aaron Rodgers,QB,GB,CLE,23.6,00-0023459
5,Russell Wilson,QB,SEA,ARI,22.3,00-0029263
6,Matt Ryan,QB,ATL,TB,21.72,00-0026143
7,Geno Smith,QB,NYJ,NE,21.52,00-0030565
8,Colin Kaepernick,QB,SF,TEN,20.76,00-0027974
9,Mike Glennon,QB,TB,ATL,18.54,00-0030520
10,Alex Smith,QB,KC,HOU,18.0,00-0023436
11,Tony Romo,QB,DAL,PHI,17.88,00-0021678
12,Ryan Tannehill,QB,MIA,BUF,17.26,00-0029701
13,Philip Rivers,QB,LAC,JAX,15.8,00-0022942
14,Josh McCown,QB,CHI,WAS,15.46,00-0021206
15,Chad Henne,QB,JAX,LAC,15.22,00-0026197
16,Case Keenum,QB,HOU,KC,14.84,00-0028986
17,Cam Newton,QB,CAR,LAR,14.76,00-0027939
18,Joe Flacco,QB,BAL,PIT,14.0,00-0026158
19,Sam Bradford,QB,LA,CAR,13.3,00-0027854
20,Ben Roethlisberger,QB,PIT,BAL,12.9,00-0022924
21,Carson Palmer,QB,ARI,SEA,12.82,00-0021429
22,Eli Manning,QB,NYG,MIN,12.5,00-0022803
23,Brandon Weeden,QB,CLE,GB,10.96,00-0029677
24,Thaddeus Lewis,QB,BUF,MIA,8.38,
25,Tom Brady,QB,NE,NYJ,8.12,00-0019596
26,Josh Freeman,QB,MIN,NYG,6.6,00-0026993
27,Nick Foles,QB,PHI,DAL,5.7,00-0029567
28,Matt Barkley,QB,PHI,DAL,2.16,00-0030533
29,Jay Cutler,QB,CHI,WAS,0.12,00-0024226
30,Derek Anderson,QB,CAR,LAR,0.0,00-0023645
31,Joe Webb,QB,MIN,NYG,0.0,00-0027796
32,Kellen Clemens,QB,LA,CAR,-0.24,00-0024264
33,Charlie Whitehurst,QB,LAC,JAX,-0.3,00-0024296
34,Eric Decker,WR,DEN,IND,32.0,00-0027690
35,Harry Douglas,WR,ATL,TB,30.9,00-0026224
36,AJ Green,WR,CIN,DET,30.5,00-0027942
37,Jarrett Boykin,WR,GB,CLE,27.3,00-0029051
38,Jeremy Kerley,WR,NYJ,NE,23.7,00-0028091
39,Dez Bryant,WR,DAL,PHI,22.0,00-0027902
40,Brandon Gibson,WR,MIA,BUF,21.0,00-0026937
41,Mike Brown,WR,JAX,LAC,20.0,
42,Terrance Williams,WR,DAL,PHI,19.1,00-0030542
43,Alshon Jeffery,WR,CHI,WAS,19.1,00-0029137
44,Kendall Wright,WR,TEN,SF,18.8,00-0029708
45,Demaryius Thomas,WR,DEN,IND,18.2,00-0027874
46,Steve Smith,WR,CAR,LAR,17.9,
47,Darrius Heyward-Bey,WR,IND,DEN,17.4,00-0026983
48,Eddie Royal,WR,LAC,JAX,16.9,00-0026182
49,DeAndre Hopkins,WR,HOU,KC,16.6,00-0030564
50,Wes Welker,WR,DEN,IND,16.6,00-0022427
51,Cecil Shorts,WR,JAX,LAC,16.0,00-0028052
52,Marvin Jones,WR,CIN,DET,15.7,00-0029293
