Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Dan Bailey,K,8,DAL,DET,3,3,100,53,3,3,0.00,2013
2,Josh Brown,K,8,NYG,PHI,5,5,100,46,0,0,0.00,2013
3,Mason Crosby,K,8,GB,MIN,3,3,100,45,5,5,0.00,2013
4,Ryan Succop,K,8,KC,CLE,3,4,75,42,2,2,0.00,2013
5,Stephen Gostkowski,K,8,NE,MIA,2,2,100,48,3,3,0.00,2013
6,Matt Prater,K,8,DEN,WAS,1,1,100,19,6,6,0.00,2013
7,Nick Folk,K,8,NYJ,CIN,3,3,100,50,0,0,0.00,2013
8,Jay Feely,K,8,ARI,ATL,2,2,100,39,3,3,0.00,2013
9,Greg Zuerlein,K,8,LAR,SEA,3,4,75,33,0,0,0.00,2013
10,Graham Gano,K,8,CAR,TB,1,1,100,29,4,4,0.00,2013
11,Rian Lindell,K,8,TB,CAR,2,2,100,48,1,1,0.00,2013
12,Caleb Sturgis,K,8,MIA,NE,1,3,33,52,2,2,0.00,2013
13,David Akers,K,8,DET,DAL,1,1,100,20,4,4,0.00,2013
14,Mike Nugent,K,8,CIN,NYJ,0,0,0,0,7,7,0.00,2013
15,Matt Bryant,K,8,ATL,ARI,2,2,100,30,1,1,0.00,2013
16,Blair Walsh,K,8,MIN,GB,1,1,100,36,4,4,0.00,2013
17,Phil Dawson,K,8,SF,JAX,0,0,0,0,6,6,0.00,2013
18,Garrett Hartley,K,8,NO,BUF,0,2,0,0,5,5,0.00,2013
19,Dan Carpenter,K,8,BUF,NO,1,2,50,37,2,2,0.00,2013
20,Billy Cundiff,K,8,CLE,KC,1,1,100,44,2,2,0.00,2013
21,Josh Scobee,K,8,JAX,SF,1,1,100,38,1,1,0.00,2013
22,Shaun Suisham,K,8,PIT,OAK,1,3,33,47,1,1,0.00,2013
23,Sebastian Janikowski,K,8,OAK,PIT,0,0,0,0,3,3,0.00,2013
24,Kai Forbath,K,8,WAS,DEN,0,0,0,0,3,3,0.00,2013
25,Steven Hauschka,K,8,SEA,LAR,0,0,0,0,2,2,0.00,2013
26,Alex Henery,K,8,PHI,NYG,0,0,0,0,1,1,0.00,2013
27,Thomas Howard,K,8,ATL,ARI,0,0,0,0,0,0,0.00,2013
