Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Drew Brees,QB,8,NO,BUF,26,34,77,332,10,5,0,146,4,-1,0,0,36.18,2013
2,Andy Dalton,QB,8,CIN,NYJ,19,30,63,325,11,5,1,126,0,0,0,0,35.00,2013
3,Matthew Stafford,QB,8,DET,DAL,33,48,69,488,10,1,2,91,3,12,4,1,31.72,2013
4,Peyton Manning,QB,8,DEN,WAS,30,44,68,354,8,4,3,94,4,-3,-1,0,28.86,2013
5,Colin Kaepernick,QB,8,SF,JAX,10,16,63,164,10,1,0,118,7,54,8,2,27.96,2013
6,Cam Newton,QB,8,CAR,TB,23,32,72,221,7,2,0,112,11,50,5,1,27.84,2013
7,Aaron Rodgers,QB,8,GB,MIN,24,29,83,285,10,2,0,131,6,31,5,0,22.50,2013
8,Jason Campbell,QB,8,CLE,KC,22,36,61,293,8,2,0,105,3,17,6,0,21.42,2013
9,Alex Smith,QB,8,KC,CLE,24,36,67,225,6,2,0,102,6,40,7,0,21.00,2013
10,Tony Romo,QB,8,DAL,DET,14,30,47,206,7,3,0,103,3,6,2,0,20.84,2013
11,Matt Ryan,QB,8,ATL,ARI,34,61,56,301,5,1,4,47,1,13,13,0,16.34,2013
12,Christian Ponder,QB,8,MIN,GB,14,21,67,145,7,0,0,86,5,38,8,1,15.60,2013
13,Mike Glennon,QB,8,TB,CAR,30,51,59,275,5,1,0,80,3,2,1,0,15.20,2013
14,Russell Wilson,QB,8,SEA,LAR,10,18,56,139,8,2,0,118,3,16,5,0,15.16,2013
15,Carson Palmer,QB,8,ARI,ATL,13,18,72,172,10,2,1,116,1,9,9,0,14.78,2013
16,Ryan Tannehill,QB,8,MIA,NE,22,42,52,192,5,2,2,61,1,12,12,0,13.88,2013
17,Chad Henne,QB,8,JAX,SF,29,45,64,228,5,1,0,84,1,1,1,0,13.22,2013
18,Ben Roethlisberger,QB,8,PIT,OAK,29,45,64,275,6,1,2,70,1,1,1,0,13.10,2013
19,Thaddeus Lewis,QB,8,BUF,NO,22,39,56,234,6,1,1,72,2,5,3,0,10.86,2013
20,Eli Manning,QB,8,NYG,PHI,25,39,64,246,6,0,0,82,1,-1,-1,0,9.74,2013
21,Tom Brady,QB,8,NE,MIA,13,22,59,116,5,1,1,70,4,5,1,0,8.14,2013
22,Robert Griffin III,QB,8,WAS,DEN,15,30,50,132,4,1,2,45,5,7,1,0,6.98,2013
23,Kellen Clemens,QB,8,LAR,SEA,15,31,48,158,5,0,2,37,2,11,6,0,5.42,2013
24,Geno Smith,QB,8,NYJ,CIN,20,30,67,159,5,0,2,52,2,8,4,0,5.16,2013
25,Matt Barkley,QB,8,PHI,NYG,17,26,65,158,6,0,1,66,0,0,0,0,4.32,2013
26,Chris Simms,QB,8,NYJ,CIN,3,7,43,17,2,0,0,50,3,35,12,0,4.18,2013
27,Josh Johnson,QB,8,CIN,NYJ,0,0,0,0,0,0,0,0,3,17,6,0,1.70,2013
28,Colt McCoy,QB,8,SF,JAX,1,1,100,13,13,0,0,119,0,0,0,0,0.52,2013
29,Michael Vick,QB,8,PHI,NYG,6,9,67,30,3,0,1,32,1,1,1,0,0.30,2013
30,Kirk Cousins,QB,8,WAS,DEN,5,9,56,48,5,0,2,31,1,1,1,0,0.02,2013
31,Luke McCown,QB,8,NO,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
32,Joe Webb,QB,8,MIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
