Player,Position,Team,Opponent,Points
Case Keenum,QB,MIN,TB,31.56
Brian Hoyer,QB,SF,LAR,30.18
Kirk Cousins,QB,WAS,OAK,29.80
Aaron Rodgers,QB,GB,CIN,28.82
Jacoby Brissett,QB,IND,CLE,27.76
Eli Manning,QB,NYG,PHI,27.64
Blake Bortles,QB,JAX,BAL,27.56
Deshaun Watson,QB,HOU,NE,25.14
Deshone Kizer,QB,CLE,IND,25.08
Carson Palmer,QB,ARI,DAL,24.70
Jared Goff,QB,LAR,SF,23.58
Dak Prescott,QB,DAL,ARI,22.92
Jameis Winston,QB,TB,MIN,21.52
Drew Brees,QB,NO,CAR,20.80
Marcus Mariota,QB,TEN,SEA,19.70
Tyrod Taylor,QB,BUF,DEN,17.82
Matt Ryan,QB,ATL,DET,16.66
Matthew Stafford,QB,DET,ATL,16.46
Andy Dalton,QB,CIN,GB,16.28
Alex Smith,QB,KC,LAC,15.10
Josh McCown,QB,NYJ,MIA,14.66
Carson Wentz,QB,PHI,NYG,13.24
Ben Roethlisberger,QB,PIT,CHI,13.00
Jay Cutler,QB,MIA,NYJ,12.70
Cam Newton,QB,CAR,NO,11.28
Trevor Siemian,QB,DEN,BUF,9.56
Mike Glennon,QB,CHI,PIT,7.44
Derek Carr,QB,OAK,WAS,7.22
Philip Rivers,QB,LAC,KC,6.48
Ryan Mallett,QB,BAL,JAX,5.44
Derek Anderson,QB,CAR,NO,0.68
Joe Webb,QB,BUF,DEN,0.00
Connor Cook,QB,OAK,WAS,0.00
Chad Henne,QB,JAX,BAL,-0.30
Joe Flacco,QB,BAL,JAX,-0.88
Brandin Cooks,WR,NE,HOU,35.10
Sammy Watkins,WR,LAR,SF,31.60
TY Hilton,WR,IND,CLE,31.30
AJ Green,WR,CIN,GB,30.10
Antonio Brown,WR,PIT,CHI,30.00
Doug Baldwin,WR,SEA,TEN,29.50
Sterling Shepard,WR,NYG,PHI,29.30
Odell Beckham Jr,WR,NYG,PHI,28.90
Pierre Garcon,WR,SF,LAR,24.20
Jordy Nelson,WR,GB,CIN,23.20
Chris Hogan,WR,NE,HOU,22.80
Michael Thomas,WR,NO,CAR,21.70
Devante Parker,WR,MIA,NYJ,21.60
Geronimo Allison,WR,GB,CIN,21.20
Rishard Matthews,WR,TEN,SEA,20.70
Tyreek Hill,WR,KC,LAC,20.00
Robert Woods,WR,LAR,SF,19.80
Travis Benjamin,WR,LAC,KC,19.40
Taylor Gabriel,WR,ATL,DET,18.90
Golden Tate,WR,DET,ATL,18.80
Robby Anderson,WR,NYJ,MIA,18.50
DeSean Jackson,WR,TB,MIN,18.40
Brice Butler,WR,DAL,ARI,17.00
Julio Jones,WR,ATL,DET,16.10
Bruce Ellington,WR,HOU,NE,15.80
Demaryius Thomas,WR,DEN,BUF,15.80
Adam Thielen,WR,MIN,TB,14.80
DeAndre Hopkins,WR,HOU,NE,14.60
Brandon Marshall,WR,NYG,PHI,14.60
Emmanuel Sanders,WR,DEN,BUF,14.50
Kenny Britt,WR,CLE,IND,14.40
Ted Ginn,WR,NO,CAR,13.90
Mike Evans,WR,TB,MIN,13.70
Mohamed Sanu,WR,ATL,DET,12.80
Adam Humphries,WR,TB,MIN,12.80
Josh Doctson,WR,WAS,OAK,12.20
Trent Taylor,WR,SF,LAR,12.20
Keenan Allen,WR,LAC,KC,11.10
Paul Richardson,WR,SEA,TEN,11.00
Allen Hurns,WR,JAX,BAL,11.00
Jarvis Landry,WR,MIA,NYJ,10.80
Jaron Brown,WR,ARI,DAL,10.70
Marqise Lee,WR,JAX,BAL,10.50
Albert Wilson,WR,KC,LAC,10.40
Jamison Crowder,WR,WAS,OAK,10.20
Devin Funchess,WR,CAR,NO,9.80
Alshon Jeffery,WR,PHI,NYG,9.60
Bennie Fowler,WR,DEN,BUF,9.50
Zach Ertz,TE,PHI,NYG,18.50
Ryan Griffin,TE,HOU,NE,17.10
Vernon Davis,TE,WAS,OAK,16.80
Charles Clay,TE,BUF,DEN,15.90
Luke Willson,TE,SEA,TEN,14.30
Jared Cook,TE,OAK,WAS,14.30
Jimmy Graham,TE,SEA,TEN,14.20
Cameron Brate,TE,TB,MIN,13.30
