gameKey,season,day,month,time,weekDay,week,year,home,away,scoreHome,scoreAway,homeFirstDowns,homeTotalYards,homePassingYards,homeRushingYards,homePenaltyCount,homePenaltyYards,homeTurnovers,homePuntCount,homePuntYards,homePuntAvg,homePossessionTime,awayFirstDowns,awayTotalYards,awayPassingYards,awayRushingYards,awayPenaltyCount,awayPenaltyYards,awayTurnovers,awayPuntYards,awayPuntAvg,awayPossessionTime
54467,REG,10,9,8:30,Thu,1,2009,PIT,TEN,13,10,19,357,321,36,6,60,3,7,299,41,2171,18,320,234,86,5,28,2,5,223,42,1701
54468,REG,13,9,1:00,Sun,1,2009,ATL,MIA,19,7,19,281,213,68,4,35,0,4,155,31,1853,16,259,163,96,4,27,4,5,225,39,1747
54469,REG,13,9,1:00,Sun,1,2009,BAL,KC,38,24,32,501,303,198,8,65,1,3,87,29,2389,11,188,159,29,3,15,0,5,246,47,1211
54470,REG,13,9,1:00,Sun,1,2009,CAR,PHI,10,38,14,169,83,86,5,30,7,4,223,19,1703,17,267,82,185,9,76,2,4,171,35,1897
54471,REG,13,9,1:00,Sun,1,2009,CIN,DEN,7,12,16,307,221,86,4,27,2,7,278,37,2007,10,302,227,75,6,39,0,8,340,36,1593
54472,REG,13,9,1:00,Sun,1,2009,CLE,MIN,20,34,17,268,179,89,8,66,2,5,210,31,1598,19,310,85,225,3,38,0,6,232,24,2002
54473,REG,13,9,1:00,Sun,1,2009,HOU,NYJ,7,24,11,183,145,38,6,37,2,6,264,38,1274,22,462,272,190,10,80,1,4,164,41,2326
54474,REG,13,9,1:00,Sun,1,2009,IND,JAC,14,12,21,365,294,71,3,17,2,2,88,44,2036,12,228,114,114,3,24,0,5,189,37,1564
54475,REG,13,9,1:00,Sun,1,2009,NO,DET,45,27,28,515,358,157,7,36,3,2,96,21,2190,14,231,198,33,8,80,3,5,208,39,1410
54476,REG,13,9,1:00,Sun,1,2009,TB,DAL,21,34,26,450,276,174,3,15,0,5,205,40,2012,18,462,344,118,4,41,0,4,219,43,1588
54477,REG,13,9,4:15,Sun,1,2009,ARI,SF,16,20,17,299,259,40,12,82,2,6,328,45,1703,13,203,182,21,4,31,1,8,393,42,1897
54478,REG,13,9,4:15,Sun,1,2009,NYG,WAS,23,17,18,351,248,103,4,30,2,1,48,47,2168,15,272,187,85,4,32,2,5,193,35,1432
54479,REG,13,9,4:15,Sun,1,2009,SEA,STL,28,0,25,446,279,167,4,25,3,5,266,40,1947,13,247,170,77,10,85,1,8,406,45,1653
54480,REG,13,9,8:20,Sun,1,2009,GB,CHI,21,15,12,226,150,76,6,45,0,6,268,36,1617,18,352,266,86,3,25,4,4,198,46,1983
54481,REG,14,9,7:00,Mon,1,2009,NE,BUF,25,24,28,441,368,73,6,55,1,1,42,37,2228,17,276,186,90,9,71,1,4,171,38,1372
54482,REG,14,9,10:15,Mon,1,2009,OAK,SD,20,24,19,366,218,148,6,40,3,4,195,41,1897,19,317,240,77,9,60,2,5,265,46,1703
54483,REG,20,9,1:00,Sun,2,2009,ATL,CAR,28,20,23,371,220,151,6,40,2,3,149,44,1892,24,440,296,144,6,35,2,2,51,26,1708
54484,REG,20,9,1:00,Sun,2,2009,DET,MIN,13,27,17,265,136,129,6,45,3,4,150,32,1825,18,265,153,112,5,43,1,4,168,40,1775
54485,REG,20,9,1:00,Sun,2,2009,GB,CIN,24,31,22,311,222,89,11,76,1,6,259,24,1572,19,319,168,151,13,100,2,4,185,41,2028
54486,REG,20,9,1:00,Sun,2,2009,JAC,ARI,17,31,18,372,280,92,8,50,3,4,181,45,1719,22,383,265,118,7,58,2,3,139,36,1881
54487,REG,20,9,1:00,Sun,2,2009,KC,OAK,10,13,25,409,236,173,9,70,2,5,218,40,2319,11,166,99,67,7,45,0,7,398,46,1281
54488,REG,20,9,1:00,Sun,2,2009,NYJ,NE,16,9,14,254,137,117,8,55,1,5,209,37,1750,18,299,216,83,11,89,1,6,221,29,1850
54489,REG,20,9,1:00,Sun,2,2009,PHI,NO,22,48,23,463,378,85,7,45,4,5,225,42,1774,23,421,288,133,3,13,1,3,156,50,1826
54490,REG,20,9,1:00,Sun,2,2009,TEN,HOU,31,34,19,449,209,240,8,64,2,5,239,45,1557,19,420,357,63,6,40,0,6,311,44,2043
54491,REG,20,9,1:00,Sun,2,2009,WAS,STL,9,7,21,362,237,125,5,35,1,2,96,42,2093,14,245,119,126,6,45,1,4,173,35,1507
54492,REG,20,9,4:05,Sun,2,2009,BUF,TB,33,20,25,438,220,218,7,55,2,3,142,39,1773,19,353,296,57,13,112,2,6,258,38,1827
54493,REG,20,9,4:05,Sun,2,2009,SF,SEA,23,10,16,379,123,256,6,54,0,6,281,40,2071,19,283,217,66,6,45,1,7,365,47,1529
54494,REG,20,9,4:15,Sun,2,2009,CHI,PIT,17,14,17,275,232,43,10,80,0,6,275,40,1774,21,308,203,105,6,52,2,3,163,50,1826
54495,REG,20,9,4:15,Sun,2,2009,DEN,CLE,27,6,25,449,263,186,5,50,1,2,109,43,1964,11,200,146,54,4,43,3,6,272,40,1636
54496,REG,20,9,4:15,Sun,2,2009,SD,BAL,26,31,20,474,421,53,12,85,2,2,75,38,1879,22,311,181,130,4,32,1,4,166,42,1721
54497,REG,20,9,8:20,Sun,2,2009,DAL,NYG,31,33,23,378,127,251,4,50,4,4,195,44,1511,19,427,330,97,4,40,0,5,186,36,2089
54498,REG,21,9,8:30,Mon,2,2009,MIA,IND,23,27,27,403,164,239,4,20,1,1,44,42,2707,14,356,295,61,4,20,0,3,145,39,893
54504,REG,27,9,1:00,Sun,3,2009,BAL,CLE,34,3,28,479,337,142,8,84,1,4,176,38,1878,11,186,115,71,5,46,4,5,255,41,1722
54505,REG,27,9,4:15,Sun,3,2009,CIN,PIT,23,20,19,273,173,100,4,30,0,5,204,37,1518,17,373,271,102,5,51,1,2,85,34,2082
54506,REG,27,9,1:00,Sun,3,2009,DET,WAS,19,14,23,381,227,154,8,58,0,6,241,39,2208,22,390,325,65,9,97,1,5,229,45,1392
54507,REG,27,9,1:00,Sun,3,2009,HOU,JAC,24,31,23,397,286,111,5,60,2,4,171,38,1748,24,398,214,184,5,40,1,3,106,31,1852
54508,REG,27,9,1:00,Sun,3,2009,MIN,SF,27,24,19,377,283,94,9,52,1,6,276,40,1929,13,246,188,58,7,60,1,9,465,41,1671
54509,REG,27,9,1:00,Sun,3,2009,NE,ATL,26,10,28,445,277,168,2,10,0,2,87,44,2389,13,257,199,58,7,54,1,5,188,34,1211
54510,REG,27,9,1:00,Sun,3,2009,PHI,KC,34,14,21,420,327,93,3,20,1,3,123,36,1835,11,196,97,99,10,90,1,9,399,45,1765
54511,REG,27,9,1:00,Sun,3,2009,STL,GB,17,36,22,336,187,149,6,40,3,4,216,46,1781,24,402,250,152,6,51,0,4,200,44,1819
54512,REG,27,9,1:00,Sun,3,2009,TB,NYG,0,24,5,86,58,28,5,25,1,7,311,38,982,27,397,171,226,5,60,0,4,200,40,2618
54513,REG,27,9,4:05,Sun,3,2009,BUF,NO,7,27,13,243,154,89,12,116,2,9,419,40,1586,21,378,156,222,9,97,1,5,213,43,2014
54514,REG,27,9,4:05,Sun,3,2009,SEA,CHI,19,25,19,346,243,103,4,45,2,2,108,50,1776,14,318,233,85,6,60,2,4,165,41,1824
54499,REG,27,9,1:00,Sun,3,2009,NYJ,TEN,24,17,13,229,146,83,3,25,2,9,360,36,1958,17,286,159,127,3,15,4,7,303,30,1642
54500,REG,27,9,4:15,Sun,3,2009,OAK,DEN,3,23,9,137,42,95,6,53,3,4,190,42,1425,21,372,157,215,5,30,1,2,81,27,2175
54501,REG,27,9,4:15,Sun,3,2009,SD,MIA,23,13,19,355,286,69,3,20,1,2,85,38,1653,19,289,140,149,7,39,2,4,178,41,1947
54502,REG,27,9,8:20,Sun,3,2009,ARI,IND,10,31,21,323,299,24,5,35,3,6,287,42,1698,22,505,379,126,7,69,1,4,168,39,1902
54503,REG,28,9,8:30,Mon,3,2009,DAL,CAR,21,7,24,449,237,212,9,80,0,5,187,37,2224,15,271,198,73,6,60,3,6,296,40,1376
54515,REG,4,10,1:00,Sun,4,2009,CHI,DET,48,24,14,276,125,151,3,36,0,4,152,38,1410,25,398,308,90,7,51,2,5,218,26,2190
54516,REG,4,10,1:00,Sun,4,2009,CLE,CIN,20,23,22,395,249,146,5,44,2,9,393,37,2335,21,375,221,154,6,46,2,9,406,32,2161
54517,REG,4,10,1:00,Sun,4,2009,HOU,OAK,29,6,16,329,209,120,1,5,2,7,250,36,2053,8,165,120,45,9,60,3,8,427,46,1547
54518,REG,4,10,1:00,Sun,4,2009,IND,SEA,34,17,24,431,353,78,7,48,1,2,81,31,1734,20,279,230,49,6,45,2,5,245,36,1866
