"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9100,"CIN@PIT 10/22/2017 04:25PM ET",21.767,"PIT"
"RB","Ezekiel Elliott",9000,"DAL@SF 10/22/2017 04:05PM ET",18.740,"DAL"
"WR","Antonio Brown",8900,"CIN@PIT 10/22/2017 04:25PM ET",23.667,"PIT"
"RB","Leonard Fournette",8600,"JAX@IND 10/22/2017 01:00PM ET",23.200,"JAX"
"WR","Julio Jones",8500,"ATL@NE 10/22/2017 08:30PM ET",12.940,"ATL"
"WR","A.J. Green",8300,"CIN@PIT 10/22/2017 04:25PM ET",21.080,"CIN"
"RB","Todd Gurley II",8200,"ARI@LAR 10/22/2017 01:00PM ET",24.767,"LAR"
"QB","Tom Brady",8000,"ATL@NE 10/22/2017 08:30PM ET",23.743,"NE"
"WR","Dez Bryant",7800,"DAL@SF 10/22/2017 04:05PM ET",13.080,"DAL"
"WR","Mike Evans",7600,"TB@BUF 10/22/2017 01:00PM ET",16.420,"TB"
"QB","Drew Brees",7600,"NO@GB 10/22/2017 01:00PM ET",18.848,"NO"
"WR","Michael Thomas",7500,"NO@GB 10/22/2017 01:00PM ET",14.420,"NO"
"QB","Matt Ryan",7500,"ATL@NE 10/22/2017 08:30PM ET",15.376,"ATL"
"RB","LeSean McCoy",7400,"TB@BUF 10/22/2017 01:00PM ET",15.360,"BUF"
"WR","Brandin Cooks",7400,"ATL@NE 10/22/2017 08:30PM ET",14.867,"NE"
"WR","Larry Fitzgerald",7300,"ARI@LAR 10/22/2017 01:00PM ET",18.583,"ARI"
"QB","Dak Prescott",7300,"DAL@SF 10/22/2017 04:05PM ET",22.456,"DAL"
"TE","Rob Gronkowski",7300,"ATL@NE 10/22/2017 08:30PM ET",18.620,"NE"
"RB","Devonta Freeman",7300,"ATL@NE 10/22/2017 08:30PM ET",17.480,"ATL"
"RB","C.J. Anderson",7200,"DEN@LAC 10/22/2017 04:25PM ET",13.280,"DEN"
"QB","Cam Newton",7000,"CAR@CHI 10/22/2017 01:00PM ET",21.190,"CAR"
"WR","Chris Hogan",7000,"ATL@NE 10/22/2017 08:30PM ET",14.400,"NE"
"WR","Kelvin Benjamin",6900,"CAR@CHI 10/22/2017 01:00PM ET",12.017,"CAR"
"QB","Marcus Mariota",6900,"TEN@CLE 10/22/2017 01:00PM ET",17.704,"TEN"
"TE","Zach Ertz",6900,"WAS@PHI 10/23/2017 08:30PM ET",16.250,"PHI"
