,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
0,RB,Le'Veon Bell,9100,CIN@PIT 10/22/2017 04:25PM ET,21.767,PIT,00-0030496
1,RB,Ezekiel Elliott,9000,DAL@SF 10/22/2017 04:05PM ET,18.74,DAL,00-0033045
2,WR,Antonio Brown,8900,CIN@PIT 10/22/2017 04:25PM ET,23.666999999999998,PIT,00-0027793
3,RB,Leonard Fournette,8600,JAX@IND 10/22/2017 01:00PM ET,23.2,JAX,00-0033856
4,WR,Julio Jones,8500,ATL@NE 10/22/2017 08:30PM ET,12.94,ATL,00-0027944
5,WR,A.J. Green,8300,CIN@PIT 10/22/2017 04:25PM ET,21.08,CIN,00-0027942
6,RB,Todd Gurley II,8200,ARI@LAR 10/22/2017 01:00PM ET,24.767,LA,00-0032241
7,QB,Tom Brady,8000,ATL@NE 10/22/2017 08:30PM ET,23.743000000000002,NE,00-0019596
8,WR,Dez Bryant,7800,DAL@SF 10/22/2017 04:05PM ET,13.08,DAL,00-0027902
9,WR,Mike Evans,7600,TB@BUF 10/22/2017 01:00PM ET,16.42,TB,00-0031408
10,QB,Drew Brees,7600,NO@GB 10/22/2017 01:00PM ET,18.848,NO,00-0020531
11,WR,Michael Thomas,7500,NO@GB 10/22/2017 01:00PM ET,14.42,NO,00-0032765
12,QB,Matt Ryan,7500,ATL@NE 10/22/2017 08:30PM ET,15.376,ATL,00-0026143
13,RB,LeSean McCoy,7400,TB@BUF 10/22/2017 01:00PM ET,15.36,BUF,00-0027029
14,WR,Brandin Cooks,7400,ATL@NE 10/22/2017 08:30PM ET,14.867,NE,00-0031236
15,WR,Larry Fitzgerald,7300,ARI@LAR 10/22/2017 01:00PM ET,18.583,ARI,00-0022921
16,QB,Dak Prescott,7300,DAL@SF 10/22/2017 04:05PM ET,22.456,DAL,00-0033077
17,TE,Rob Gronkowski,7300,ATL@NE 10/22/2017 08:30PM ET,18.62,NE,00-0027656
18,RB,Devonta Freeman,7300,ATL@NE 10/22/2017 08:30PM ET,17.48,ATL,00-0031285
19,RB,C.J. Anderson,7200,DEN@LAC 10/22/2017 04:25PM ET,13.28,DEN,00-0029854
20,QB,Cam Newton,7000,CAR@CHI 10/22/2017 01:00PM ET,21.19,CAR,00-0027939
21,WR,Chris Hogan,7000,ATL@NE 10/22/2017 08:30PM ET,14.4,NE,00-0028237
22,WR,Kelvin Benjamin,6900,CAR@CHI 10/22/2017 01:00PM ET,12.017000000000001,CAR,00-0031359
23,QB,Marcus Mariota,6900,TEN@CLE 10/22/2017 01:00PM ET,17.704,TEN,00-0032268
24,TE,Zach Ertz,6900,WAS@PHI 10/23/2017 08:30PM ET,16.25,PHI,00-0030061
25,QB,Aaron Rodgers,6800,NO@GB 10/22/2017 01:00PM ET,20.117,GB,00-0023459
26,WR,Jordy Nelson,6800,NO@GB 10/22/2017 01:00PM ET,15.0,GB,00-0026176
27,WR,Jarvis Landry,6800,NYJ@MIA 10/22/2017 01:00PM ET,15.3,MIA,00-0031382
28,RB,Mark Ingram,6700,NO@GB 10/22/2017 01:00PM ET,15.7,NO,00-0027966
29,WR,Adam Thielen,6700,BAL@MIN 10/22/2017 01:00PM ET,14.833,MIN,00-0030035
30,QB,Carson Wentz,6700,WAS@PHI 10/23/2017 08:30PM ET,22.443,PHI,00-0032950
31,QB,Carson Palmer,6600,ARI@LAR 10/22/2017 01:00PM ET,19.08,ARI,00-0021429
32,WR,Doug Baldwin,6600,SEA@NYG 10/22/2017 04:25PM ET,13.22,SEA,00-0028434
33,RB,David Johnson,6500,ARI@LAR 10/22/2017 01:00PM ET,14.1,ARI,00-0032187
34,WR,DeVante Parker,6500,NYJ@MIA 10/22/2017 01:00PM ET,12.15,MIA,00-0031547
35,QB,Kirk Cousins,6500,WAS@PHI 10/23/2017 08:30PM ET,21.531999999999996,WAS,00-0029604
36,RB,Jordan Howard,6400,CAR@CHI 10/22/2017 01:00PM ET,15.867,CHI,00-0032780
37,QB,Russell Wilson,6400,SEA@NYG 10/22/2017 04:25PM ET,20.656,SEA,00-0029263
38,RB,Jerick McKinnon,6300,BAL@MIN 10/22/2017 01:00PM ET,11.017000000000001,MIN,00-0031376
39,WR,Keenan Allen,6300,DEN@LAC 10/22/2017 04:25PM ET,14.933,LAC,00-0030279
40,RB,DeMarco Murray,6200,TEN@CLE 10/22/2017 01:00PM ET,11.317,TEN,00-0028009
41,RB,Jay Ajayi,6200,NYJ@MIA 10/22/2017 01:00PM ET,10.68,MIA,00-0031590
42,QB,Ben Roethlisberger,6200,CIN@PIT 10/22/2017 04:25PM ET,13.707,PIT,00-0022924
43,WR,Alshon Jeffery,6200,WAS@PHI 10/23/2017 08:30PM ET,11.617,PHI,00-0029137
44,RB,Christian McCaffrey,6100,CAR@CHI 10/22/2017 01:00PM ET,15.117,CAR,00-0033280
45,WR,T.Y. Hilton,6100,JAX@IND 10/22/2017 01:00PM ET,14.083,IND,00-0029608
46,QB,Jameis Winston,6000,TB@BUF 10/22/2017 01:00PM ET,17.472,TB,00-0031503
47,WR,Devin Funchess,6000,CAR@CHI 10/22/2017 01:00PM ET,12.583,CAR,00-0032055
48,RB,Doug Martin,5900,TB@BUF 10/22/2017 01:00PM ET,15.3,TB,00-0029613
49,QB,Sam Bradford,5900,BAL@MIN 10/22/2017 01:00PM ET,14.99,MIN,00-0027854
50,RB,Carlos Hyde,5900,DAL@SF 10/22/2017 04:05PM ET,16.7,SF,00-0031045
51,WR,Emmanuel Sanders,5900,DEN@LAC 10/22/2017 04:25PM ET,12.72,DEN,00-0027685
52,TE,Delanie Walker,5800,TEN@CLE 10/22/2017 01:00PM ET,9.482999999999999,TEN,00-0024389
53,WR,Davante Adams,5800,NO@GB 10/22/2017 01:00PM ET,15.317,GB,00-0031381
54,RB,Adrian Peterson,5800,ARI@LAR 10/22/2017 01:00PM ET,7.78,ARI,00-0025394
55,QB,Jared Goff,5800,ARI@LAR 10/22/2017 01:00PM ET,15.627,LA,00-0033106
56,WR,Pierre Garcon,5800,DAL@SF 10/22/2017 04:05PM ET,13.232999999999999,SF,00-0026345
57,WR,Demaryius Thomas,5800,DEN@LAC 10/22/2017 04:25PM ET,13.6,DEN,00-0027874
58,WR,DeSean Jackson,5700,TB@BUF 10/22/2017 01:00PM ET,12.14,TB,00-0026189
59,QB,Andy Dalton,5700,CIN@PIT 10/22/2017 04:25PM ET,15.08,CIN,00-0027973
60,RB,Darren McFadden,5700,DAL@SF 10/22/2017 04:05PM ET,0.0,DAL,00-0026144
61,RB,Chris Thompson,5700,WAS@PHI 10/23/2017 08:30PM ET,19.7,WAS,00-0030404
62,QB,Derek Anderson,5600,CAR@CHI 10/22/2017 01:00PM ET,0.68,CAR,00-0023645
63,RB,Alvin Kamara,5600,NO@GB 10/22/2017 01:00PM ET,13.54,NO,00-0033906
64,WR,Danny Amendola,5600,ATL@NE 10/22/2017 08:30PM ET,13.14,NE,00-0026035
65,WR,Rishard Matthews,5500,TEN@CLE 10/22/2017 01:00PM ET,10.833,TEN,00-0029580
66,RB,Derrick Henry,5500,TEN@CLE 10/22/2017 01:00PM ET,8.533,TEN,00-0032764
67,RB,Ty Montgomery,5500,NO@GB 10/22/2017 01:00PM ET,13.64,GB,00-0032200
68,QB,Andrew Luck,5500,JAX@IND 10/22/2017 01:00PM ET,0.0,IND,00-0029668
69,QB,Jimmy Garoppolo,5500,ATL@NE 10/22/2017 08:30PM ET,0.0,NE,00-0031345
70,RB,Alfred Morris,5400,DAL@SF 10/22/2017 04:05PM ET,2.175,DAL,00-0029141
71,QB,Trevor Siemian,5400,DEN@LAC 10/22/2017 04:25PM ET,18.012,DEN,00-0032156
72,WR,Randall Cobb,5300,NO@GB 10/22/2017 01:00PM ET,11.52,GB,00-0028002
73,RB,Javorius Allen,5300,BAL@MIN 10/22/2017 01:00PM ET,12.417,BAL,00-0031577
74,QB,Philip Rivers,5300,DEN@LAC 10/22/2017 04:25PM ET,17.57,LAC,00-0022942
75,WR,Terrelle Pryor Sr.,5300,WAS@PHI 10/23/2017 08:30PM ET,8.58,WAS,00-0028825
76,RB,Aaron Jones,5200,NO@GB 10/22/2017 01:00PM ET,7.9,GB,00-0033293
77,QB,Josh McCown,5200,NYJ@MIA 10/22/2017 01:00PM ET,14.927,NYJ,00-0021206
78,WR,Sterling Shepard,5200,SEA@NYG 10/22/2017 04:25PM ET,11.72,NYG,00-0032385
79,QB,Tyrod Taylor,5100,TB@BUF 10/22/2017 01:00PM ET,14.1,BUF,00-0028118
80,QB,Brett Hundley,5100,NO@GB 10/22/2017 01:00PM ET,3.79,GB,00-0031589
81,RB,Bilal Powell,5100,NYJ@MIA 10/22/2017 01:00PM ET,11.84,NYJ,00-0028064
