"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9300,"PIT@DET 10/29/2017 08:30PM ET",22.257,"PIT"
"RB","Ezekiel Elliott",9200,"DAL@WAS 10/29/2017 04:25PM ET",22.933,"DAL"
"WR","Antonio Brown",8800,"PIT@DET 10/29/2017 08:30PM ET",22.643,"PIT"
"RB","LeSean McCoy",8700,"OAK@BUF 10/29/2017 01:00PM ET",17.500,"BUF"
"WR","A.J. Green",8600,"IND@CIN 10/29/2017 01:00PM ET",18.750,"CIN"
"WR","Julio Jones",8400,"ATL@NYJ 10/29/2017 01:00PM ET",14.933,"ATL"
"RB","Melvin Gordon",8100,"LAC@NE 10/29/2017 01:00PM ET",19.457,"LAC"
"WR","Mike Evans",7900,"CAR@TB 10/29/2017 01:00PM ET",17.317,"TB"
"WR","Dez Bryant",7700,"DAL@WAS 10/29/2017 04:25PM ET",14.117,"DAL"
"QB","Tom Brady",7600,"LAC@NE 10/29/2017 01:00PM ET",22.989,"NE"
"WR","Michael Thomas",7600,"CHI@NO 10/29/2017 01:00PM ET",14.550,"NO"
"WR","DeAndre Hopkins",7500,"HOU@SEA 10/29/2017 04:05PM ET",19.033,"HOU"
"WR","Adam Thielen",7400,"MIN@CLE 10/29/2017 09:30AM ET",14.014,"MIN"
"RB","Mark Ingram",7400,"CHI@NO 10/29/2017 01:00PM ET",17.083,"NO"
"WR","Keenan Allen",7300,"LAC@NE 10/29/2017 01:00PM ET",13.814,"LAC"
"QB","Dak Prescott",7300,"DAL@WAS 10/29/2017 04:25PM ET",23.707,"DAL"
"RB","Devonta Freeman",7200,"ATL@NYJ 10/29/2017 01:00PM ET",16.567,"ATL"
"QB","Carson Wentz",7200,"SF@PHI 10/29/2017 01:00PM ET",23.811,"PHI"
"WR","Stefon Diggs",7100,"MIN@CLE 10/29/2017 09:30AM ET",17.860,"MIN"
"TE","Rob Gronkowski",7100,"LAC@NE 10/29/2017 01:00PM ET",16.867,"NE"
"QB","Drew Brees",7000,"CHI@NO 10/29/2017 01:00PM ET",19.730,"NO"
"TE","Zach Ertz",7000,"SF@PHI 10/29/2017 01:00PM ET",16.771,"PHI"
"WR","Doug Baldwin",6900,"HOU@SEA 10/29/2017 04:05PM ET",15.050,"SEA"
"WR","Brandin Cooks",6800,"LAC@NE 10/29/2017 01:00PM ET",15.100,"NE"
"RB","Jordan Howard",6800,"CHI@NO 10/29/2017 01:00PM ET",14.529,"CHI"
"QB","Matt Ryan",6800,"ATL@NYJ 10/29/2017 01:00PM ET",15.650,"ATL"
"WR","Alshon Jeffery",6700,"SF@PHI 10/29/2017 01:00PM ET",10.771,"PHI"
"WR","Amari Cooper",6600,"OAK@BUF 10/29/2017 01:00PM ET",12.229,"OAK"
"QB","Cam Newton",6600,"CAR@TB 10/29/2017 01:00PM ET",19.654,"CAR"
"RB","Jerick McKinnon",6500,"MIN@CLE 10/29/2017 09:30AM ET",10.686,"MIN"
"QB","Derek Carr",6500,"OAK@BUF 10/29/2017 01:00PM ET",16.473,"OAK"
"WR","Chris Hogan",6500,"LAC@NE 10/29/2017 01:00PM ET",13.929,"NE"
"QB","Russell Wilson",6500,"HOU@SEA 10/29/2017 04:05PM ET",22.107,"SEA"
"WR","Golden Tate",6500,"PIT@DET 10/29/2017 08:30PM ET",14.700,"DET"
"WR","Kelvin Benjamin",6400,"CAR@TB 10/29/2017 01:00PM ET",11.657,"CAR"
"QB","Deshaun Watson",6400,"HOU@SEA 10/29/2017 04:05PM ET",24.180,"HOU"
"QB","Kirk Cousins",6400,"DAL@WAS 10/29/2017 04:25PM ET",22.597,"WAS"
"WR","Michael Crabtree",6300,"OAK@BUF 10/29/2017 01:00PM ET",16.133,"OAK"
"QB","Philip Rivers",6300,"LAC@NE 10/29/2017 01:00PM ET",17.249,"LAC"
"RB","Christian McCaffrey",6200,"CAR@TB 10/29/2017 01:00PM ET",14.614,"CAR"
"WR","Pierre Garcon",6100,"SF@PHI 10/29/2017 01:00PM ET",12.757,"SF"
"QB","Jameis Winston",6100,"CAR@TB 10/29/2017 01:00PM ET",19.287,"TB"
"RB","Carlos Hyde",6000,"SF@PHI 10/29/2017 01:00PM ET",16.143,"SF"
"QB","Ben Roethlisberger",6000,"PIT@DET 10/29/2017 08:30PM ET",14.129,"PIT"
"QB","Matthew Stafford",6000,"PIT@DET 10/29/2017 08:30PM ET",17.970,"DET"
"QB","Sam Bradford",5900,"MIN@CLE 10/29/2017 09:30AM ET",14.990,"MIN"
"QB","Tyrod Taylor",5900,"OAK@BUF 10/29/2017 01:00PM ET",15.087,"BUF"
"RB","Alvin Kamara",5900,"CHI@NO 10/29/2017 01:00PM ET",13.900,"NO"
"WR","Devin Funchess",5900,"CAR@TB 10/29/2017 01:00PM ET",11.943,"CAR"
"QB","Case Keenum",5800,"MIN@CLE 10/29/2017 09:30AM ET",13.380,"MIN"
"RB","Chris Thompson",5800,"DAL@WAS 10/29/2017 04:25PM ET",19.317,"WAS"
"QB","Andy Dalton",5700,"IND@CIN 10/29/2017 01:00PM ET",14.633,"CIN"
"WR","Danny Amendola",5700,"LAC@NE 10/29/2017 01:00PM ET",11.733,"NE"
"WR","T.Y. Hilton",5600,"IND@CIN 10/29/2017 01:00PM ET",12.743,"IND"
"QB","Josh McCown",5600,"ATL@NYJ 10/29/2017 01:00PM ET",16.431,"NYJ"
"RB","Darren McFadden",5600,"DAL@WAS 10/29/2017 04:25PM ET",0,"DAL"
"QB","Jimmy Garoppolo",5500,"LAC@NE 10/29/2017 01:00PM ET",0,"NE"
"WR","Nelson Agholor",5500,"SF@PHI 10/29/2017 01:00PM ET",12.943,"PHI"
"RB","Alfred Morris",5500,"DAL@WAS 10/29/2017 04:25PM ET",2.420,"DAL"
"WR","Marvin Jones Jr.",5500,"PIT@DET 10/29/2017 08:30PM ET",11.000,"DET"
"QB","Andrew Luck",5400,"IND@CIN 10/29/2017 01:00PM ET",0,"IND"
"RB","Doug Martin",5400,"CAR@TB 10/29/2017 01:00PM ET",13.533,"TB"
"WR","Terrelle Pryor Sr.",5400,"DAL@WAS 10/29/2017 04:25PM ET",7.717,"WAS"
"QB","Derek Anderson",5300,"CAR@TB 10/29/2017 01:00PM ET",0.680,"CAR"
"WR","Will Fuller V",5300,"HOU@SEA 10/29/2017 04:05PM ET",18.100,"HOU"
"RB","Lamar Miller",5200,"HOU@SEA 10/29/2017 04:05PM ET",13.617,"HOU"
"RB","LeGarrette Blount",5100,"SF@PHI 10/29/2017 01:00PM ET",9.143,"PHI"
"QB","C.J. Beathard",5100,"SF@PHI 10/29/2017 01:00PM ET",10.200,"SF"
"WR","DeSean Jackson",5100,"CAR@TB 10/29/2017 01:00PM ET",12.167,"TB"
"RB","Latavius Murray",5000,"MIN@CLE 10/29/2017 09:30AM ET",5.414,"MIN"
"RB","Tevin Coleman",5000,"ATL@NYJ 10/29/2017 01:00PM ET",10.800,"ATL"
"QB","Ryan Fitzpatrick",5000,"CAR@TB 10/29/2017 01:00PM ET",11.200,"TB"
"QB","Teddy Bridgewater",4900,"MIN@CLE 10/29/2017 09:30AM ET",0,"MIN"
"QB","Jacoby Brissett",4900,"IND@CIN 10/29/2017 01:00PM ET",14.037,"IND"
"RB","James White",4900,"LAC@NE 10/29/2017 01:00PM ET",11.971,"NE"
"WR","Mohamed Sanu",4900,"ATL@NYJ 10/29/2017 01:00PM ET",10.240,"ATL"
"TE","Austin Seferian-Jenkins",4900,"ATL@NYJ 10/29/2017 01:00PM ET",12.060,"NYJ"
"RB","Wendell Smallwood",4900,"SF@PHI 10/29/2017 01:00PM ET",7.160,"PHI"
"WR","Kenny Golladay",4900,"PIT@DET 10/29/2017 08:30PM ET",9.733,"DET"
"WR","Corey Coleman",4800,"MIN@CLE 10/29/2017 09:30AM ET",9.100,"CLE"
"QB","EJ Manuel",4800,"OAK@BUF 10/29/2017 01:00PM ET",7.550,"OAK"
"WR","Tyrell Williams",4800,"LAC@NE 10/29/2017 01:00PM ET",8.400,"LAC"
"TE","Hunter Henry",4800,"LAC@NE 10/29/2017 01:00PM ET",9.014,"LAC"
"RB","Bilal Powell",4800,"ATL@NYJ 10/29/2017 01:00PM ET",11.583,"NYJ"
"WR","Jermaine Kearse",4800,"ATL@NYJ 10/29/2017 01:00PM ET",11.971,"NYJ"
"QB","Brian Hoyer",4800,"SF@PHI 10/29/2017 01:00PM ET",12.250,"SF"
"QB","AJ McCarron",4700,"IND@CIN 10/29/2017 01:00PM ET",0.000,"CIN"
"RB","Joe Mixon",4700,"IND@CIN 10/29/2017 01:00PM ET",8.883,"CIN"
"WR","Ted Ginn Jr.",4700,"CHI@NO 10/29/2017 01:00PM ET",12.583,"NO"
"QB","Colt McCoy",4700,"DAL@WAS 10/29/2017 04:25PM ET",0,"WAS"
"TE","Jordan Reed",4700,"DAL@WAS 10/29/2017 04:25PM ET",11.720,"WAS"
"QB","Kevin Hogan",4600,"MIN@CLE 10/29/2017 09:30AM ET",9.695,"CLE"
"QB","DeShone Kizer",4600,"MIN@CLE 10/29/2017 09:30AM ET",10.367,"CLE"
"RB","Dion Lewis",4600,"LAC@NE 10/29/2017 01:00PM ET",6.786,"NE"
"QB","Chase Daniel",4600,"CHI@NO 10/29/2017 01:00PM ET",0,"NO"
"QB","Mitchell Trubisky",4600,"CHI@NO 10/29/2017 01:00PM ET",6.655,"CHI"
"RB","Tarik Cohen",4600,"CHI@NO 10/29/2017 01:00PM ET",11.677,"CHI"
"WR","Taylor Gabriel",4600,"ATL@NYJ 10/29/2017 01:00PM ET",6.900,"ATL"
"TE","Jimmy Graham",4600,"HOU@SEA 10/29/2017 04:05PM ET",9.833,"SEA"
"TE","Kyle Rudolph",4500,"MIN@CLE 10/29/2017 09:30AM ET",8.914,"MIN"
"QB","Cody Kessler",4500,"MIN@CLE 10/29/2017 09:30AM ET",3.740,"CLE"
"RB","Duke Johnson Jr.",4500,"MIN@CLE 10/29/2017 09:30AM ET",13.671,"CLE"
"QB","Cardale Jones",4500,"LAC@NE 10/29/2017 01:00PM ET",0,"LAC"
"TE","Cameron Brate",4500,"CAR@TB 10/29/2017 01:00PM ET",14.183,"TB"
"WR","Cole Beasley",4500,"DAL@WAS 10/29/2017 04:25PM ET",6.883,"DAL"
"QB","Cooper Rush",4500,"DAL@WAS 10/29/2017 04:25PM ET",1.380,"DAL"
"QB","Landry Jones",4500,"PIT@DET 10/29/2017 08:30PM ET",0,"PIT"
"RB","James Conner",4500,"PIT@DET 10/29/2017 08:30PM ET",1.257,"PIT"
"QB","Mike Glennon",4400,"CHI@NO 10/29/2017 01:00PM ET",11.180,"CHI"
"QB","Nick Foles",4400,"SF@PHI 10/29/2017 01:00PM ET",0,"PHI"
