,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
0,RB,Le'Veon Bell,9300,PIT@DET 10/29/2017 08:30PM ET,22.256999999999998,PIT,00-0030496
1,RB,Ezekiel Elliott,9200,DAL@WAS 10/29/2017 04:25PM ET,22.933000000000003,DAL,00-0033045
2,WR,Antonio Brown,8800,PIT@DET 10/29/2017 08:30PM ET,22.643,PIT,00-0027793
3,RB,LeSean McCoy,8700,OAK@BUF 10/29/2017 01:00PM ET,17.5,BUF,00-0027029
4,WR,A.J. Green,8600,IND@CIN 10/29/2017 01:00PM ET,18.75,CIN,00-0027942
5,WR,Julio Jones,8400,ATL@NYJ 10/29/2017 01:00PM ET,14.933,ATL,00-0027944
6,RB,Melvin Gordon,8100,LAC@NE 10/29/2017 01:00PM ET,19.457,LAC,00-0032144
7,WR,Mike Evans,7900,CAR@TB 10/29/2017 01:00PM ET,17.317,TB,00-0031408
8,WR,Dez Bryant,7700,DAL@WAS 10/29/2017 04:25PM ET,14.117,DAL,00-0027902
9,QB,Tom Brady,7600,LAC@NE 10/29/2017 01:00PM ET,22.989,NE,00-0019596
10,WR,Michael Thomas,7600,CHI@NO 10/29/2017 01:00PM ET,14.55,NO,00-0032765
11,WR,DeAndre Hopkins,7500,HOU@SEA 10/29/2017 04:05PM ET,19.033,HOU,00-0030564
12,WR,Adam Thielen,7400,MIN@CLE 10/29/2017 09:30AM ET,14.014000000000001,MIN,00-0030035
13,RB,Mark Ingram,7400,CHI@NO 10/29/2017 01:00PM ET,17.083,NO,00-0027966
14,WR,Keenan Allen,7300,LAC@NE 10/29/2017 01:00PM ET,13.814,LAC,00-0030279
15,QB,Dak Prescott,7300,DAL@WAS 10/29/2017 04:25PM ET,23.706999999999997,DAL,00-0033077
16,RB,Devonta Freeman,7200,ATL@NYJ 10/29/2017 01:00PM ET,16.567,ATL,00-0031285
17,QB,Carson Wentz,7200,SF@PHI 10/29/2017 01:00PM ET,23.811,PHI,00-0032950
18,WR,Stefon Diggs,7100,MIN@CLE 10/29/2017 09:30AM ET,17.86,MIN,00-0031588
19,TE,Rob Gronkowski,7100,LAC@NE 10/29/2017 01:00PM ET,16.867,NE,00-0027656
20,QB,Drew Brees,7000,CHI@NO 10/29/2017 01:00PM ET,19.73,NO,00-0020531
21,TE,Zach Ertz,7000,SF@PHI 10/29/2017 01:00PM ET,16.771,PHI,00-0030061
22,WR,Doug Baldwin,6900,HOU@SEA 10/29/2017 04:05PM ET,15.05,SEA,00-0028434
23,WR,Brandin Cooks,6800,LAC@NE 10/29/2017 01:00PM ET,15.1,NE,00-0031236
24,RB,Jordan Howard,6800,CHI@NO 10/29/2017 01:00PM ET,14.529000000000002,CHI,00-0032780
25,QB,Matt Ryan,6800,ATL@NYJ 10/29/2017 01:00PM ET,15.65,ATL,00-0026143
26,WR,Alshon Jeffery,6700,SF@PHI 10/29/2017 01:00PM ET,10.770999999999999,PHI,00-0029137
27,WR,Amari Cooper,6600,OAK@BUF 10/29/2017 01:00PM ET,12.229000000000001,OAK,00-0031544
28,QB,Cam Newton,6600,CAR@TB 10/29/2017 01:00PM ET,19.654,CAR,00-0027939
29,RB,Jerick McKinnon,6500,MIN@CLE 10/29/2017 09:30AM ET,10.686,MIN,00-0031376
30,QB,Derek Carr,6500,OAK@BUF 10/29/2017 01:00PM ET,16.473,OAK,00-0031280
31,WR,Chris Hogan,6500,LAC@NE 10/29/2017 01:00PM ET,13.929,NE,00-0028237
32,QB,Russell Wilson,6500,HOU@SEA 10/29/2017 04:05PM ET,22.107,SEA,00-0029263
33,WR,Golden Tate,6500,PIT@DET 10/29/2017 08:30PM ET,14.7,DET,00-0027891
34,WR,Kelvin Benjamin,6400,CAR@TB 10/29/2017 01:00PM ET,11.657,CAR,00-0031359
35,QB,Deshaun Watson,6400,HOU@SEA 10/29/2017 04:05PM ET,24.18,HOU,00-0033537
36,QB,Kirk Cousins,6400,DAL@WAS 10/29/2017 04:25PM ET,22.596999999999998,WAS,00-0029604
37,WR,Michael Crabtree,6300,OAK@BUF 10/29/2017 01:00PM ET,16.133,OAK,00-0026986
38,QB,Philip Rivers,6300,LAC@NE 10/29/2017 01:00PM ET,17.249000000000002,LAC,00-0022942
39,RB,Christian McCaffrey,6200,CAR@TB 10/29/2017 01:00PM ET,14.614,CAR,00-0033280
40,WR,Pierre Garcon,6100,SF@PHI 10/29/2017 01:00PM ET,12.757,SF,00-0026345
