,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
0,Le'Veon Bell,RB,PIT,9100,22,,18.0,21.767,19.883499999999998,21.767,18.0
1,Ezekiel Elliott,RB,DAL,9000,21.3,,18.5,18.74,18.619999999999997,18.74,18.5
2,Antonio Brown,WR,PIT,8900,18.2,,16.5,23.667,20.0835,23.667,16.5
3,Leonard Fournette,RB,JAX,8600,18.4,15.26,,23.2,19.23,23.2,15.26
4,Julio Jones,WR,ATL,8500,18.3,,15.0,12.94,13.969999999999999,15.0,12.94
5,A.J. Green,WR,CIN,8300,17.1,13.59,15.0,21.08,16.55666666666667,21.08,13.59
6,Todd Gurley II,RB,LA,8200,18.6,16.31,18.0,24.767,19.692333333333334,24.767,16.31
7,Tom Brady,QB,NE,8000,20.4,,27.5,23.743,25.621499999999997,27.5,23.743
8,Dez Bryant,WR,DAL,7800,14.7,12.92,13.5,13.08,13.166666666666666,13.5,12.92
9,Mike Evans,WR,TB,7600,15.2,12.69,14.5,16.42,14.536666666666667,16.42,12.69
10,Drew Brees,QB,NO,7600,16.9,18.61,23.0,18.848,20.152666666666665,23.0,18.61
11,Michael Thomas,WR,NO,7500,15.7,13.31,15.0,14.42,14.243333333333334,15.0,13.31
12,Matt Ryan,QB,ATL,7500,19.1,18.49,21.8,15.376,18.555333333333333,21.8,15.376
13,LeSean McCoy,RB,BUF,7400,20.8,17.03,19.5,15.36,17.296666666666667,19.5,15.36
14,Brandin Cooks,WR,NE,7400,13,12.1,13.0,14.867,13.322333333333333,14.867,12.1
15,Larry Fitzgerald,WR,ARI,7300,14.1,12.37,13.0,18.583,14.650999999999998,18.583,12.37
16,Dak Prescott,QB,DAL,7300,17.8,,23.5,22.456,22.978,23.5,22.456
17,Rob Gronkowski,TE,NE,7300,15.4,,13.0,18.62,15.81,18.62,13.0
18,Devonta Freeman,RB,ATL,7300,15.2,13.86,15.5,17.48,15.613333333333335,17.48,13.86
19,C.J. Anderson,RB,DEN,7200,13.2,11.47,15.0,13.28,13.25,15.0,11.47
20,Cam Newton,QB,CAR,7000,15.2,17.96,23.8,21.19,20.983333333333334,23.8,17.96
21,Chris Hogan,WR,NE,7000,13.8,11.58,5.0,14.4,10.326666666666666,14.4,5.0
22,Kelvin Benjamin,WR,CAR,6900,10.8,9.5,13.0,12.017,11.505666666666665,13.0,9.5
23,Marcus Mariota,QB,TEN,6900,16.6,18.19,21.3,17.704,19.064666666666668,21.3,17.704
24,Zach Ertz,TE,PHI,6900,16.1,,13.0,16.25,14.625,16.25,13.0
25,Aaron Rodgers,QB,GB,6800,0,,,20.117,20.117,20.117,20.117
26,Jordy Nelson,WR,GB,6800,14.7,11.67,7.0,15.0,11.223333333333334,15.0,7.0
27,Jarvis Landry,WR,MIA,6800,13.8,11.07,14.0,15.3,13.456666666666669,15.3,11.07
28,Mark Ingram,RB,NO,6700,17.6,14.97,16.0,15.7,15.556666666666667,16.0,14.97
29,Adam Thielen,WR,MIN,6700,14.1,10.95,7.5,14.833,11.094333333333333,14.833,7.5
30,Carson Wentz,QB,PHI,6700,17.4,17.79,23.3,22.443,21.177666666666667,23.3,17.79
31,Carson Palmer,QB,ARI,6600,15.8,16.26,22.3,19.08,19.213333333333335,22.3,16.26
32,Doug Baldwin,WR,SEA,6600,14.2,11.55,14.0,13.22,12.923333333333334,14.0,11.55
33,David Johnson,RB,ARI,6500,0,,,14.1,14.1,14.1,14.1
34,DeVante Parker,WR,MIA,6500,0,8.4,,12.15,10.275,12.15,8.4
35,Kirk Cousins,QB,WAS,6500,,17.35,24.0,21.532,20.96066666666667,24.0,17.35
36,Jordan Howard,RB,CHI,6400,13.3,12.22,16.5,15.867,14.862333333333334,16.5,12.22
37,Russell Wilson,QB,SEA,6400,17,16.67,22.8,20.656,20.041999999999998,22.8,16.67
38,Jerick McKinnon,RB,MIN,6300,13.2,11.87,15.5,11.017,12.795666666666667,15.5,11.017
39,Keenan Allen,WR,LAC,6300,12.8,10.1,5.0,14.933,10.011000000000001,14.933,5.0
40,DeMarco Murray,RB,TEN,6200,9.1,8.45,6.0,11.317,8.589,11.317,6.0
41,Jay Ajayi,RB,MIA,6200,15.2,13.53,15.5,10.68,13.236666666666666,15.5,10.68
42,Ben Roethlisberger,QB,PIT,6200,14.4,15.44,21.0,13.707,16.715666666666667,21.0,13.707
43,Alshon Jeffery,WR,PHI,6200,13.5,10.23,14.0,11.617,11.949,14.0,10.23
44,Christian McCaffrey,RB,CAR,6100,14.1,10.96,6.5,15.117,10.859,15.117,6.5
45,T.Y. Hilton,WR,IND,6100,11.9,11.15,6.5,14.083,10.577666666666666,14.083,6.5
46,Jameis Winston,QB,TB,6000,15.3,15.21,22.8,17.472,18.494000000000003,22.8,15.21
47,Devin Funchess,WR,CAR,6000,10.5,9.72,12.0,12.583,11.434333333333333,12.583,9.72
