,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,CBS_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
0,Le'Veon Bell,RB,PIT,9300,22.5,,21.0,21.0,22.257,21.419,22.257,21.0
1,Ezekiel Elliott,RB,DAL,9200,19.4,16.87,19.5,19.0,22.933000000000003,19.575750000000003,22.933000000000003,16.87
2,Antonio Brown,WR,PIT,8800,19.1,,17.0,20.0,22.643,19.881,22.643,17.0
3,LeSean McCoy,RB,BUF,8700,21.9,,18.5,17.0,17.5,17.666666666666668,18.5,17.0
4,A.J. Green,WR,CIN,8600,18,,16.5,16.0,18.75,17.083333333333332,18.75,16.0
5,Julio Jones,WR,ATL,8400,16.4,14.42,15.5,17.0,14.933,15.46325,17.0,14.42
6,Melvin Gordon,RB,LAC,8100,17.6,15.04,16.0,15.0,19.457,16.37425,19.457,15.0
7,Mike Evans,WR,TB,7900,15.4,14.2,15.0,14.0,17.317,15.12925,17.317,14.0
8,Dez Bryant,WR,DAL,7700,14.8,12.07,13.5,14.0,14.117,13.42175,14.117,12.07
9,Tom Brady,QB,NE,7600,18.5,,28.5,22.0,22.989,24.496333333333336,28.5,22.0
10,Michael Thomas,WR,NO,7600,15,12.27,14.0,12.0,14.55,13.204999999999998,14.55,12.0
11,DeAndre Hopkins,WR,HOU,7500,15,11.75,13.5,13.0,19.033,14.32075,19.033,11.75
12,Adam Thielen,WR,MIN,7400,11.9,10.57,14.5,10.0,14.014,12.271,14.5,10.0
13,Mark Ingram,RB,NO,7400,18.6,14.59,16.5,15.0,17.083,15.79325,17.083,14.59
14,Keenan Allen,WR,LAC,7300,17,12.35,14.0,12.0,13.814,13.041,14.0,12.0
15,Dak Prescott,QB,DAL,7300,17.8,19.64,28.0,22.0,23.707,23.336750000000002,28.0,19.64
16,Devonta Freeman,RB,ATL,7200,16.2,13.87,15.0,14.0,16.567,14.85925,16.567,13.87
17,Carson Wentz,QB,PHI,7200,18,,27.3,20.0,23.811,23.703666666666663,27.3,20.0
18,Stefon Diggs,WR,MIN,7100,13.2,10.18,,11.0,17.86,13.013333333333334,17.86,10.18
19,Rob Gronkowski,TE,NE,7100,14.6,,12.5,14.0,16.867,14.455666666666668,16.867,12.5
20,Drew Brees,QB,NO,7000,17.7,19.71,22.5,21.0,19.73,20.735,22.5,19.71
21,Zach Ertz,TE,PHI,7000,15.4,,13.0,14.0,16.771,14.590333333333334,16.771,13.0
22,Doug Baldwin,WR,SEA,6900,14.7,11.94,14.5,12.0,15.05,13.372499999999999,15.05,11.94
23,Brandin Cooks,WR,NE,6800,12,10.9,13.0,12.0,15.1,12.75,15.1,10.9
24,Jordan Howard,RB,CHI,6800,13.6,13.0,15.0,14.0,14.529000000000002,14.13225,15.0,13.0
25,Matt Ryan,QB,ATL,6800,16.6,16.69,17.3,18.0,15.65,16.91,18.0,15.65
26,Alshon Jeffery,WR,PHI,6700,12.7,10.43,12.0,13.0,10.771,11.55025,13.0,10.43
27,Amari Cooper,WR,OAK,6600,11.4,10.95,7.0,12.0,12.229,10.54475,12.229,7.0
28,Cam Newton,QB,CAR,6600,17.1,18.96,25.8,19.0,19.654,20.8535,25.8,18.96
29,Jerick McKinnon,RB,MIN,6500,12.2,11.03,8.0,9.0,10.686,9.679,11.03,8.0
30,Derek Carr,QB,OAK,6500,14.1,15.92,21.5,15.0,16.473,17.22325,21.5,15.0
31,Chris Hogan,WR,NE,6500,12.8,10.24,13.0,11.0,13.929,12.042250000000001,13.929,10.24
32,Russell Wilson,QB,SEA,6500,17.8,18.62,23.8,18.0,22.107,20.63175,23.8,18.0
33,Golden Tate,WR,DET,6500,0.4,,,0.0,14.7,7.35,14.7,0.0
34,Kelvin Benjamin,WR,CAR,6400,12.6,10.77,14.5,12.0,11.657,12.231749999999998,14.5,10.77
35,Deshaun Watson,QB,HOU,6400,15.4,15.23,19.0,12.0,24.18,17.6025,24.18,12.0
36,Kirk Cousins,QB,WAS,6400,,19.36,24.8,18.0,22.597,21.18925,24.8,18.0
37,Michael Crabtree,WR,OAK,6300,12.4,11.15,14.0,12.0,16.133,13.32075,16.133,11.15
38,Philip Rivers,QB,LAC,6300,17.5,17.35,22.3,16.0,17.249000000000002,18.22475,22.3,16.0
39,Christian McCaffrey,RB,CAR,6200,15.5,11.65,6.5,14.0,14.614,11.690999999999999,14.614,6.5
40,Pierre Garcon,WR,SF,6100,13.3,9.58,13.5,10.0,12.757,11.459249999999999,13.5,9.58
41,Jameis Winston,QB,TB,6100,16.3,17.67,23.3,19.0,19.287,19.81425,23.3,17.67
42,Carlos Hyde,RB,SF,6000,11.9,11.02,14.0,11.0,16.143,13.04075,16.143,11.0
43,Ben Roethlisberger,QB,PIT,6000,15.1,15.37,20.8,17.0,14.129,16.82475,20.8,14.129
44,Matthew Stafford,QB,DET,6000,16.7,15.03,21.5,14.0,17.97,17.125,21.5,14.0
45,Sam Bradford,QB,MIN,5900,0,,,,14.99,14.99,14.99,14.99
46,Tyrod Taylor,QB,BUF,5900,17.7,16.86,19.5,20.0,15.087,17.86175,20.0,15.087
47,Alvin Kamara,RB,NO,5900,14.5,11.78,8.5,13.0,13.9,11.795,13.9,8.5
48,Devin Funchess,WR,CAR,5900,12.2,9.61,13.5,10.0,11.943,11.26325,13.5,9.61
49,Case Keenum,QB,MIN,5800,13.2,14.25,16.5,13.0,13.38,14.2825,16.5,13.0
50,Chris Thompson,RB,WAS,5800,,10.47,13.0,11.0,19.317,13.44675,19.317,10.47
51,Andy Dalton,QB,CIN,5700,17.4,18.21,23.0,19.0,14.633,18.71075,23.0,14.633
52,Danny Amendola,WR,NE,5700,8.6,7.4,7.0,9.0,11.733,8.783249999999999,11.733,7.0
53,T.Y. Hilton,WR,IND,5600,12.2,9.02,15.5,11.0,12.743,12.06575,15.5,9.02
54,Josh McCown,QB,NYJ,5600,14.7,15.35,21.8,14.0,16.430999999999994,16.895249999999997,21.8,14.0
55,Darren McFadden,RB,DAL,5600,0,,,1.0,0.0,0.5,1.0,0.0
56,Jimmy Garoppolo,QB,NE,5500,0.1,0.19,,0.0,0.0,0.06333333333333334,0.19,0.0
57,Nelson Agholor,WR,PHI,5500,10.2,9.01,10.5,10.0,12.943,10.613249999999999,12.943,9.01
58,Alfred Morris,RB,DAL,5500,2.5,,,2.0,2.42,2.21,2.42,2.0
59,Marvin Jones Jr.,WR,DET,5500,11.2,9.55,12.5,10.0,11.0,10.7625,12.5,9.55
60,Andrew Luck,QB,IND,5400,0,,,,0.0,0.0,0.0,0.0
61,Doug Martin,RB,TB,5400,12.1,11.02,5.5,10.0,13.533,10.01325,13.533,5.5
62,Terrelle Pryor Sr.,WR,WAS,5400,,,,8.0,7.717,7.858499999999999,8.0,7.717
63,Derek Anderson,QB,CAR,5300,0.1,0.18,,0.0,0.68,0.2866666666666667,0.68,0.0
64,Will Fuller V,WR,HOU,5300,10.2,7.76,6.5,7.0,18.1,9.84,18.1,6.5
65,Lamar Miller,RB,HOU,5200,12.8,10.84,8.5,11.0,13.617,10.98925,13.617,8.5
66,LeGarrette Blount,RB,PHI,5100,10.5,8.95,13.5,11.0,9.143,10.64825,13.5,8.95
67,C.J. Beathard,QB,SF,5100,11.9,13.03,18.5,13.0,10.2,13.682500000000001,18.5,10.2
68,DeSean Jackson,WR,TB,5100,11.6,9.84,5.5,9.0,12.167,9.12675,12.167,5.5
69,Latavius Murray,RB,MIN,5000,10.5,8.5,11.5,5.0,5.414,7.6035,11.5,5.0
70,Tevin Coleman,RB,ATL,5000,11.5,9.62,6.0,9.0,10.8,8.855,10.8,6.0
71,Ryan Fitzpatrick,QB,TB,5000,0.1,0.25,,0.0,11.2,3.8166666666666664,11.2,0.0
72,Teddy Bridgewater,QB,MIN,4900,0,,,,0.0,0.0,0.0,0.0
