Player,Position,Team,Opponent,FantasyPoints
Aaron Rodgers,QB,GB,MIN,19.61
Matt Ryan,QB,ATL,MIA,19.60
Kirk Cousins,QB,WAS,SF,19.34
Deshaun Watson,QB,HOU,CLE,19.24
Cam Newton,QB,CAR,PHI,18.25
Matthew Stafford,QB,DET,NO,18.16
Philip Rivers,QB,LAC,OAK,17.56
Alex Smith,QB,KC,PIT,17.31
Jameis Winston,QB,TB,ARI,17.28
Carson Palmer,QB,ARI,TB,16.97
Marcus Mariota,QB,TEN,IND,16.67
Carson Wentz,QB,PHI,CAR,16.14
Derek Carr,QB,OAK,LAC,15.88
Jacoby Brissett,QB,IND,TEN,15.87
Case Keenum,QB,MIN,GB,14.77
Trevor Siemian,QB,DEN,NYG,14.61
Josh McCown,QB,NYJ,NE,14.40
Ben Roethlisberger,QB,PIT,KC,14.19
Brian Hoyer,QB,SF,WAS,13.80
Joe Flacco,QB,BAL,CHI,13.74
Jay Cutler,QB,MIA,ATL,13.35
Blake Bortles,QB,JAX,LAR,13.18
Kevin Hogan,QB,CLE,HOU,12.33
Mitch Trubisky,QB,CHI,BAL,10.98
Jared Goff,QB,LAR,JAX,10.91
Eli Manning,QB,NYG,DEN,10.47
Matt Cassel,QB,TEN,IND,3.58
EJ Manuel,QB,OAK,LAC,2.21
Deshone Kizer,QB,CLE,HOU,0.62
Paxton Lynch,QB,DEN,NYG,0.34
Bryce Petty,QB,NYJ,NE,0.32
Matt Moore,QB,MIA,ATL,0.29
Mike Glennon,QB,CHI,BAL,0.28
Tom Savage,QB,HOU,CLE,0.27
Jimmy Garoppolo,QB,NE,NYJ,0.27
Landry Jones,QB,PIT,KC,0.26
Nick Foles,QB,PHI,CAR,0.24
Drew Stanton,QB,ARI,TB,0.24
Ryan Fitzpatrick,QB,TB,ARI,0.23
Colt McCoy,QB,WAS,SF,0.22
Geno Smith,QB,NYG,DEN,0.22
Ryan Mallett,QB,BAL,CHI,0.21
Patrick Mahomes,QB,KC,PIT,0.21
Derek Anderson,QB,CAR,PHI,0.20
Chase Daniel,QB,NO,DET,0.20
Sean Mannion,QB,LAR,JAX,0.19
Chad Henne,QB,JAX,LAR,0.17
Kellen Clemens,QB,LAC,OAK,0.17
Antonio Brown,WR,PIT,KC,14.28
Michael Thomas,WR,NO,DET,13.15
Keenan Allen,WR,LAC,OAK,12.88
TY Hilton,WR,IND,TEN,12.71
Golden Tate,WR,DET,NO,12.18
Mike Evans,WR,TB,ARI,12.38
Michael Crabtree,WR,OAK,LAC,12.17
Jarvis Landry,WR,MIA,ATL,11.25
Pierre Garcon,WR,SF,WAS,11.37
Chris Hogan,WR,NE,NYJ,11.55
Alshon Jeffery,WR,PHI,CAR,11.35
Adam Thielen,WR,MIN,GB,10.91
Jordy Nelson,WR,GB,MIN,11.36
Brandin Cooks,WR,NE,NYJ,11.38
Demaryius Thomas,WR,DEN,NYG,10.92
Tyreek Hill,WR,KC,PIT,10.84
Randall Cobb,WR,GB,MIN,10.61
Larry Fitzgerald,WR,ARI,TB,10.45
Devin Funchess,WR,CAR,PHI,10.65
Davante Adams,WR,GB,MIN,10.84
Kelvin Benjamin,WR,CAR,PHI,10.80
DeSean Jackson,WR,TB,ARI,10.86
Emmanuel Sanders,WR,DEN,NYG,10.38
Terrelle Pryor,WR,WAS,SF,9.93
Rishard Matthews,WR,TEN,IND,9.85
Tyrell Williams,WR,LAC,OAK,9.83
Marvin Jones,WR,DET,NO,9.50
Willie Snead,WR,NO,DET,9.14
Danny Amendola,WR,NE,NYJ,8.94
Amari Cooper,WR,OAK,LAC,8.73
Jermaine Kearse,WR,NYJ,NE,8.56
John Brown,WR,ARI,TB,8.53
Jeremy Maclin,WR,BAL,CHI,8.40
Cooper Kupp,WR,LAR,JAX,8.25
Will Fuller,WR,HOU,CLE,8.52
Jamison Crowder,WR,WAS,SF,8.09
Ricardo Louis,WR,CLE,HOU,7.99
Mike Wallace,WR,BAL,CHI,8.26
Jaron Brown,WR,ARI,TB,8.01
Taylor Gabriel,WR,ATL,MIA,7.97
Martavis Bryant,WR,PIT,KC,7.97
Ted Ginn,WR,NO,DET,7.98
JJ Nelson,WR,ARI,TB,8.01
Sammy Watkins,WR,LAR,JAX,7.76
Kenny Stills,WR,MIA,ATL,7.87
Robby Anderson,WR,NYJ,NE,7.79
Travis Rudolph,WR,NYG,DEN,7.57
Adam Humphries,WR,TB,ARI,7.12
Travis Kelce,TE,KC,PIT,11.28
Delanie Walker,TE,TEN,IND,10.16
Jordan Reed,TE,WAS,SF,9.63
Evan Engram,TE,NYG,DEN,8.62
Kyle Rudolph,TE,MIN,GB,8.33
Austin Seferian-Jenkins,TE,NYJ,NE,7.99
Cameron Brate,TE,TB,ARI,8.08
Jared Cook,TE,OAK,LAC,7.72
Martellus Bennett,TE,GB,MIN,7.39
Hunter Henry,TE,LAC,OAK,7.28
Zach Miller,TE,CHI,BAL,6.72
Coby Fleener,TE,NO,DET,6.80
George Kittle,TE,SF,WAS,6.60
Jack Doyle,TE,IND,TEN,6.30
Ed Dickson,TE,CAR,PHI,6.55
Ryan Griffin,TE,HOU,CLE,6.53
Eric Ebron,TE,DET,NO,6.23
Austin Hooper,TE,ATL,MIA,6.26
Benjamin Watson,TE,BAL,CHI,5.96
Julius Thomas,TE,MIA,ATL,5.86
Jesse James,TE,PIT,KC,5.54
Antonio Gates,TE,LAC,OAK,5.43
Jermaine Gresham,TE,ARI,TB,5.25
Tyler Higbee,TE,LAR,JAX,4.81
AJ Derby,TE,DEN,NYG,4.47
David Njoku,TE,CLE,HOU,4.53
Marcedes Lewis,TE,JAX,LAR,4.47
Stephen Anderson,TE,HOU,CLE,4.39
Seth DeValve,TE,CLE,HOU,4.15
Darren Fells,TE,DET,NO,3.70
Vernon Davis,TE,WAS,SF,3.64
OJ Howard,TE,TB,ARI,3.55
Jonnu Smith,TE,TEN,IND,3.53
Nick Boyle,TE,BAL,CHI,3.07
Dion Sims,TE,CHI,BAL,2.71
Virgil Green,TE,DEN,NYG,2.63
Maxx Williams,TE,BAL,CHI,2.44
Rhett Ellison,TE,NYG,DEN,2.44
Josh Hill,TE,NO,DET,2.43
Gerald Everett,TE,LAR,JAX,2.43
Garrett Celek,TE,SF,WAS,2.37
Trey Burton,TE,PHI,CAR,2.25
Demetrius Harris,TE,KC,PIT,2.23
Troy Niklas,TE,ARI,TB,2.19
Lance Kendricks,TE,GB,MIN,2.06
Vance McDonald,TE,PIT,KC,2.05
Levine Toilolo,TE,ATL,MIA,1.63
Anthony Fasano,TE,MIA,ATL,1.49
Todd Gurley,RB,LAR,JAX,15.83
Leonard Fournette,RB,JAX,LAR,15.96
Devonta Freeman,RB,ATL,MIA,15.88
Melvin Gordon,RB,LAC,OAK,14.35
Mark Ingram,RB,NO,DET,13.76
Lamar Miller,RB,HOU,CLE,13.91
CJ Anderson,RB,DEN,NYG,13.71
DeMarco Murray,RB,TEN,IND,13.66
Alvin Kamara,RB,NO,DET,11.90
Christian McCaffrey,RB,CAR,PHI,10.95
Javorius Allen,RB,BAL,CHI,11.05
Jordan Howard,RB,CHI,BAL,11.99
Jay Ajayi,RB,MIA,ATL,11.70
Carlos Hyde,RB,SF,WAS,11.12
Doug Martin,RB,TB,ARI,11.47
Marshawn Lynch,RB,OAK,LAC,11.75
Ameer Abdullah,RB,DET,NO,10.99
Jerick McKinnon,RB,MIN,GB,10.61
Chris Thompson,RB,WAS,SF,10.36
Theo Riddick,RB,DET,NO,9.55
Tevin Coleman,RB,ATL,MIA,10.04
Mike Gillislee,RB,NE,NYJ,11.40
Andre Ellington,RB,ARI,TB,9.23
Duke Johnson,RB,CLE,HOU,9.17
Latavius Murray,RB,MIN,GB,9.63
James White,RB,NE,NYJ,8.34
Samaje Perine,RB,WAS,SF,9.89
Matt Forte,RB,NYJ,NE,9.07
Ty Montgomery,RB,GB,MIN,8.70
Aaron Jones,RB,GB,MIN,8.86
Jonathan Stewart,RB,CAR,PHI,9.11
Elijah McGuire,RB,NYJ,NE,8.21
Isaiah Crowell,RB,CLE,HOU,8.20
Frank Gore,RB,IND,TEN,7.89
Tarik Cohen,RB,CHI,BAL,7.11
LeGarrette Blount,RB,PHI,CAR,8.06
Shane Vereen,RB,NYG,DEN,6.48
Alex Collins,RB,BAL,CHI,7.74
Wayne Gallman,RB,NYG,DEN,6.57
Adrian Peterson,RB,ARI,TB,7.06
Matt Breida,RB,SF,WAS,6.06
Chris Ivory,RB,JAX,LAR,5.86
Derrick Henry,RB,TEN,IND,6.35
Deandre Washington,RB,OAK,LAC,5.38
Jalen Richard,RB,OAK,LAC,5.49
Jamaal Charles,RB,DEN,NYG,5.56
Charles Sims,RB,TB,ARI,4.86
Bilal Powell,RB,NYJ,NE,5.03
Stephen Gostkowski,K,NE,NYJ,9.10
Ka'imi Fairbairn,K,HOU,CLE,9.00
Giorgio Tavecchio,K,OAK,LAC,9.00
Ryan Succop,K,TEN,IND,8.80
Matt Bryant,K,ATL,MIA,8.40
Brandon McManus,K,DEN,NYG,8.40
Harrison Butker,K,KC,PIT,8.40
Graham Gano,K,CAR,PHI,8.30
Justin Tucker,K,BAL,CHI,8.30
Matt Prater,K,DET,NO,8.30
Jason Myers,K,JAX,LAR,8.10
Adam Vinatieri,K,IND,TEN,8.10
Jake Elliott,K,PHI,CAR,8.00
Greg Zuerlein,K,LAR,JAX,7.80
Robbie Gould,K,SF,WAS,7.70
Chris Boswell,K,PIT,KC,7.70
Phil Dawson,K,ARI,TB,7.50
Kai Forbath,K,MIN,GB,7.40
Mason Crosby,K,GB,MIN,7.30
Chandler Catanzaro,K,NYJ,NE,7.30
Nick Novak,K,LAC,OAK,7.10
Patrick Murray,K,TB,ARI,6.70
Zane Gonzalez,K,CLE,HOU,5.10
Cody Parkey,K,MIA,ATL,5.00
Connor Barth,K,CHI,BAL,4.90
Aldrick Rosas,K,NYG,DEN,4.30
Caleb Sturgis,K,PHI,CAR,0.00
Nick Folk,K,TB,ARI,0.00
Sebastian Janikowski,K,OAK,LAC,0.00
