,Player,Position,Team,Opponent,FantasyPoints,PlayerID
0,Aaron Rodgers,QB,GB,MIN,19.61,00-0023459
1,Matt Ryan,QB,ATL,MIA,19.6,00-0026143
2,Kirk Cousins,QB,WAS,SF,19.34,00-0029604
3,Deshaun Watson,QB,HOU,CLE,19.24,00-0033537
4,Cam Newton,QB,CAR,PHI,18.25,00-0027939
5,Matthew Stafford,QB,DET,NO,18.16,00-0026498
6,Philip Rivers,QB,LAC,OAK,17.56,00-0022942
7,Alex Smith,QB,KC,PIT,17.31,00-0023436
8,Jameis Winston,QB,TB,ARI,17.28,00-0031503
9,Carson Palmer,QB,ARI,TB,16.97,00-0021429
10,Marcus Mariota,QB,TEN,IND,16.67,00-0032268
11,Carson Wentz,QB,PHI,CAR,16.14,00-0032950
12,Derek Carr,QB,OAK,LAC,15.88,00-0031280
13,Jacoby Brissett,QB,IND,TEN,15.87,00-0033119
14,Case Keenum,QB,MIN,GB,14.77,00-0028986
15,Trevor Siemian,QB,DEN,NYG,14.61,00-0032156
16,Josh McCown,QB,NYJ,NE,14.4,00-0021206
17,Ben Roethlisberger,QB,PIT,KC,14.19,00-0022924
18,Brian Hoyer,QB,SF,WAS,13.8,00-0026625
19,Joe Flacco,QB,BAL,CHI,13.74,00-0026158
20,Jay Cutler,QB,MIA,ATL,13.35,00-0024226
21,Blake Bortles,QB,JAX,LAR,13.18,00-0031407
22,Kevin Hogan,QB,CLE,HOU,12.33,00-0032784
23,Mitch Trubisky,QB,CHI,BAL,10.98,00-0033869
24,Jared Goff,QB,LA,JAX,10.91,00-0033106
25,Eli Manning,QB,NYG,DEN,10.47,00-0022803
26,Matt Cassel,QB,TEN,IND,3.58,00-0023662
27,EJ Manuel,QB,OAK,LAC,2.21,00-0030526
28,Deshone Kizer,QB,CLE,HOU,0.62,00-0033899
29,Paxton Lynch,QB,DEN,NYG,0.34,00-0033108
30,Bryce Petty,QB,NYJ,NE,0.32,00-0031568
31,Matt Moore,QB,MIA,ATL,0.29,00-0025708
32,Mike Glennon,QB,CHI,BAL,0.28,00-0030520
33,Tom Savage,QB,HOU,CLE,0.27,00-0031064
34,Jimmy Garoppolo,QB,NE,NYJ,0.27,00-0031345
35,Landry Jones,QB,PIT,KC,0.26,00-0030524
36,Nick Foles,QB,PHI,CAR,0.24,00-0029567
37,Drew Stanton,QB,ARI,TB,0.24,00-0025430
38,Ryan Fitzpatrick,QB,TB,ARI,0.23,00-0023682
39,Colt McCoy,QB,WAS,SF,0.22,00-0027688
40,Geno Smith,QB,NYG,DEN,0.22,00-0030565
41,Ryan Mallett,QB,BAL,CHI,0.21,00-0028012
42,Patrick Mahomes,QB,KC,PIT,0.21,00-0033873
43,Derek Anderson,QB,CAR,PHI,0.2,00-0023645
44,Chase Daniel,QB,NO,DET,0.2,00-0026544
45,Sean Mannion,QB,LA,JAX,0.19,00-0032245
46,Chad Henne,QB,JAX,LAR,0.17,00-0026197
47,Kellen Clemens,QB,LAC,OAK,0.17,00-0024264
48,Antonio Brown,WR,PIT,KC,14.28,00-0027793
49,Michael Thomas,WR,NO,DET,13.15,00-0032765
50,Keenan Allen,WR,LAC,OAK,12.88,00-0030279
51,TY Hilton,WR,IND,TEN,12.71,00-0029608
52,Golden Tate,WR,DET,NO,12.18,00-0027891
53,Mike Evans,WR,TB,ARI,12.38,00-0031408
54,Michael Crabtree,WR,OAK,LAC,12.17,00-0026986
55,Jarvis Landry,WR,MIA,ATL,11.25,00-0031382
56,Pierre Garcon,WR,SF,WAS,11.37,00-0026345
57,Chris Hogan,WR,NE,NYJ,11.55,00-0028237
58,Alshon Jeffery,WR,PHI,CAR,11.35,00-0029137
59,Adam Thielen,WR,MIN,GB,10.91,00-0030035
60,Jordy Nelson,WR,GB,MIN,11.36,00-0026176
61,Brandin Cooks,WR,NE,NYJ,11.38,00-0031236
62,Demaryius Thomas,WR,DEN,NYG,10.92,00-0027874
63,Tyreek Hill,WR,KC,PIT,10.84,00-0033040
64,Randall Cobb,WR,GB,MIN,10.61,00-0028002
65,Larry Fitzgerald,WR,ARI,TB,10.45,00-0022921
66,Devin Funchess,WR,CAR,PHI,10.65,00-0032055
67,Davante Adams,WR,GB,MIN,10.84,00-0031381
68,Kelvin Benjamin,WR,CAR,PHI,10.8,00-0031359
69,DeSean Jackson,WR,TB,ARI,10.86,00-0026189
70,Emmanuel Sanders,WR,DEN,NYG,10.38,00-0027685
71,Terrelle Pryor,WR,WAS,SF,9.93,00-0028825
72,Rishard Matthews,WR,TEN,IND,9.85,00-0029580
73,Tyrell Williams,WR,LAC,OAK,9.83,00-0032160
74,Marvin Jones,WR,DET,NO,9.5,00-0029293
75,Willie Snead,WR,NO,DET,9.14,00-0030663
76,Danny Amendola,WR,NE,NYJ,8.94,00-0026035
77,Amari Cooper,WR,OAK,LAC,8.73,00-0031544
78,Jermaine Kearse,WR,NYJ,NE,8.56,00-0029159
79,John Brown,WR,ARI,TB,8.53,00-0031051
80,Jeremy Maclin,WR,BAL,CHI,8.4,00-0026995
