Player,Position,Team,Opponent,FantasyPoints
Tom Brady,QB,NE,@NYJ,28.5
Aaron Rodgers,QB,GB,@MIN,28.3
Jacoby Brissett,QB,IND,@TEN,26.3
Drew Brees,QB,NO,DET,26.0
Kirk Cousins,QB,WAS,SF,24.5
Alex Smith,QB,KC,PIT,23.8
Jameis Winston,QB,TB,@ARI,23.5
Cam Newton,QB,CAR,PHI,23.3
Carson Palmer,QB,ARI,TB,23.3
Carson Wentz,QB,PHI,@CAR,22.8
Matt Ryan,QB,ATL,MIA,22.5
Deshaun Watson,QB,HOU,CLE,22.5
Matthew Stafford,QB,DET,@NO,22.3
Case Keenum,QB,MIN,GB,21.5
Philip Rivers,QB,LAC,@OAK,21.5
Ben Roethlisberger,QB,PIT,@KC,21.3
Trevor Siemian,QB,DEN,NYG,21.3
Derek Carr,QB,OAK,LAC,20.8
Josh McCown,QB,NYJ,NE,20.5
Kevin Hogan,QB,CLE,@HOU,18.0
Brian Hoyer,QB,SF,@WAS,17.3
Mitchell Trubisky,QB,CHI,@BAL,17.0
Blake Bortles,QB,JAC,LAR,16.5
Jared Goff,QB,LAR,@JAC,16.3
Eli Manning,QB,NYG,@DEN,16.0
Jay Cutler,QB,MIA,@ATL,15.8
Joe Flacco,QB,BAL,CHI,15.5
Matt Cassel,QB,TEN,IND,14.5
Antonio Brown,WR,PIT,@KC,16.0
Julio Jones,WR,ATL,MIA,16.0
Michael Thomas,WR,NO,DET,15.5
T.Y. Hilton,WR,IND,@TEN,15.0
DeAndre Hopkins,WR,HOU,CLE,15.0
Brandin Cooks,WR,NE,@NYJ,14.0
Michael Crabtree,WR,OAK,LAC,14.0
Tyreek Hill,WR,KC,PIT,14.0
DeSean Jackson,WR,TB,@ARI,14.0
Jordy Nelson,WR,GB,@MIN,14.0
Adam Thielen,WR,MIN,GB,14.0
Larry Fitzgerald,WR,ARI,TB,13.5
Devin Funchess,WR,CAR,PHI,13.5
Davante Adams,WR,GB,@MIN,13.0
Keenan Allen,WR,LAC,@OAK,13.0
Randall Cobb,WR,GB,@MIN,13.0
Pierre Garcon,WR,SF,@WAS,13.0
Alshon Jeffery,WR,PHI,@CAR,13.0
Jermaine Kearse,WR,NYJ,NE,13.0
Jarvis Landry,WR,MIA,@ATL,13.0
Emmanuel Sanders,WR,DEN,NYG,13.0
Golden Tate,WR,DET,@NO,13.0
Demaryius Thomas,WR,DEN,NYG,13.0
Kelvin Benjamin,WR,CAR,PHI,12.5
Tyrell Williams,WR,LAC,@OAK,12.5
Martavis Bryant,WR,PIT,@KC,12.0
Chris Hogan,WR,NE,@NYJ,12.0
Cooper Kupp,WR,LAR,@JAC,12.0
Marqise Lee,WR,JAC,LAR,12.0
John Brown,WR,ARI,TB,11.5
Taylor Gabriel,WR,ATL,MIA,11.5
Marvin Jones,WR,DET,@NO,11.5
Kendall Wright,WR,CHI,@BAL,11.5
Jeremy Maclin,WR,BAL,CHI,11.0
Danny Amendola,WR,NE,@NYJ,7.0
Mike Evans,WR,TB,@ARI,7.0
Robby Anderson,WR,NYJ,NE,6.0
Rishard Matthews,WR,TEN,IND,6.0
Mike Wallace,WR,BAL,CHI,6.0
Adam Humphries,WR,TB,@ARI,5.5
