,Player,Position,Team,Opponent,FantasyPoints,PlayerID
0,Tom Brady,QB,NE,@NYJ,28.5,00-0019596
1,Aaron Rodgers,QB,GB,@MIN,28.3,00-0023459
2,Jacoby Brissett,QB,IND,@TEN,26.3,00-0033119
3,Drew Brees,QB,NO,DET,26.0,00-0020531
4,Kirk Cousins,QB,WAS,SF,24.5,00-0029604
5,Alex Smith,QB,KC,PIT,23.8,00-0023436
6,Jameis Winston,QB,TB,@ARI,23.5,00-0031503
7,Cam Newton,QB,CAR,PHI,23.3,00-0027939
8,Carson Palmer,QB,ARI,TB,23.3,00-0021429
9,Carson Wentz,QB,PHI,@CAR,22.8,00-0032950
10,Matt Ryan,QB,ATL,MIA,22.5,00-0026143
11,Deshaun Watson,QB,HOU,CLE,22.5,00-0033537
12,Matthew Stafford,QB,DET,@NO,22.3,00-0026498
13,Case Keenum,QB,MIN,GB,21.5,00-0028986
14,Philip Rivers,QB,LAC,@OAK,21.5,00-0022942
15,Ben Roethlisberger,QB,PIT,@KC,21.3,00-0022924
16,Trevor Siemian,QB,DEN,NYG,21.3,00-0032156
17,Derek Carr,QB,OAK,LAC,20.8,00-0031280
18,Josh McCown,QB,NYJ,NE,20.5,00-0021206
19,Kevin Hogan,QB,CLE,@HOU,18.0,00-0032784
20,Brian Hoyer,QB,SF,@WAS,17.3,00-0026625
21,Mitchell Trubisky,QB,CHI,@BAL,17.0,00-0033869
22,Blake Bortles,QB,JAX,LAR,16.5,00-0031407
23,Jared Goff,QB,LA,@JAC,16.3,00-0033106
24,Eli Manning,QB,NYG,@DEN,16.0,00-0022803
25,Jay Cutler,QB,MIA,@ATL,15.8,00-0024226
26,Joe Flacco,QB,BAL,CHI,15.5,00-0026158
27,Matt Cassel,QB,TEN,IND,14.5,00-0023662
28,Antonio Brown,WR,PIT,@KC,16.0,00-0027793
29,Julio Jones,WR,ATL,MIA,16.0,00-0027944
30,Michael Thomas,WR,NO,DET,15.5,00-0032765
31,T.Y. Hilton,WR,IND,@TEN,15.0,00-0029608
32,DeAndre Hopkins,WR,HOU,CLE,15.0,00-0030564
33,Brandin Cooks,WR,NE,@NYJ,14.0,00-0031236
