Player,Position,Team,Opponent,FantasyData_FantasyPoints
Drew Brees,QB,NO,GB,18.61
Matt Ryan,QB,ATL,NE,18.49
Marcus Mariota,QB,TEN,CLE,18.19
Cam Newton,QB,CAR,CHI,17.96
Carson Wentz,QB,PHI,WAS,17.79
Alex Smith,QB,KC,OAK,17.67
Kirk Cousins,QB,WAS,PHI,17.35
Russell Wilson,QB,SEA,NYG,16.67
Carson Palmer,QB,ARI,LAR,16.26
Tyrod Taylor,QB,BUF,TB,16.02
Derek Carr,QB,OAK,KC,15.54
Ben Roethlisberger,QB,PIT,CIN,15.44
Jared Goff,QB,LAR,ARI,15.36
Jameis Winston,QB,TB,BUF,15.21
Philip Rivers,QB,LAC,DEN,14.76
Blake Bortles,QB,JAX,IND,14.60
Josh McCown,QB,NYJ,MIA,14.03
Brett Hundley,QB,GB,NO,14.08
Andy Dalton,QB,CIN,PIT,13.68
Trevor Siemian,QB,DEN,LAC,13.60
Jay Cutler,QB,MIA,NYJ,13.59
Deshone Kizer,QB,CLE,TEN,13.47
CJ Beathard,QB,SF,DAL,13.33
Eli Manning,QB,NYG,SEA,12.83
Case Keenum,QB,MIN,BAL,12.75
Jacoby Brissett,QB,IND,JAX,11.88
Mitch Trubisky,QB,CHI,CAR,11.08
Joe Flacco,QB,BAL,MIN,10.90
Ryan Fitzpatrick,QB,TB,BUF,1.16
Kevin Hogan,QB,CLE,TEN,0.86
Brock Osweiler,QB,DEN,LAC,0.40
Brian Hoyer,QB,SF,DAL,0.33
Matt Moore,QB,MIA,NYJ,0.29
Bryce Petty,QB,NYJ,MIA,0.28
Nick Foles,QB,PHI,WAS,0.26
Mike Glennon,QB,CHI,CAR,0.25
Geno Smith,QB,NYG,SEA,0.25
Drew Stanton,QB,ARI,LAR,0.24
Landry Jones,QB,PIT,CIN,0.24
AJ McCarron,QB,CIN,PIT,0.23
Austin Davis,QB,SEA,NYG,0.22
Jimmy Garoppolo,QB,NE,ATL,0.22
EJ Manuel,QB,OAK,KC,0.21
Colt McCoy,QB,WAS,PHI,0.21
Derek Anderson,QB,CAR,CHI,0.20
Sean Mannion,QB,LAR,ARI,0.20
Ryan Mallett,QB,BAL,MIN,0.20
Patrick Mahomes,QB,KC,OAK,0.19
AJ Green,WR,CIN,PIT,13.59
Michael Thomas,WR,NO,GB,13.31
Larry Fitzgerald,WR,ARI,LAR,12.37
Dez Bryant,WR,DAL,SF,12.92
Demaryius Thomas,WR,DEN,LAC,12.33
Mike Evans,WR,TB,BUF,12.69
Brandin Cooks,WR,NE,ATL,12.10
Michael Crabtree,WR,OAK,KC,11.87
Doug Baldwin,WR,SEA,NYG,11.55
Jordy Nelson,WR,GB,NO,11.67
Jarvis Landry,WR,MIA,NYJ,11.07
Pierre Garcon,WR,SF,DAL,11.23
Chris Hogan,WR,NE,ATL,11.58
Adam Thielen,WR,MIN,BAL,10.95
TY Hilton,WR,IND,JAX,11.15
Tyreek Hill,WR,KC,OAK,10.75
Keenan Allen,WR,LAC,DEN,10.10
Rishard Matthews,WR,TEN,CLE,10.10
Alshon Jeffery,WR,PHI,WAS,10.23
Devin Funchess,WR,CAR,CHI,9.72
Davante Adams,WR,GB,NO,9.83
Kelvin Benjamin,WR,CAR,CHI,9.50
DeSean Jackson,WR,TB,BUF,9.49
Terrelle Pryor,WR,WAS,PHI,9.16
Danny Amendola,WR,NE,ATL,8.86
Eric Decker,WR,TEN,CLE,9.15
Randall Cobb,WR,GB,NO,9.02
Ted Ginn,WR,NO,GB,8.89
Robert Woods,WR,LAR,ARI,8.54
Allen Hurns,WR,JAX,IND,8.55
Amari Cooper,WR,OAK,KC,8.62
John Brown,WR,ARI,LAR,8.64
Mohamed Sanu,WR,ATL,NE,8.35
Cooper Kupp,WR,LAR,ARI,8.36
Marqise Lee,WR,JAX,IND,8.03
Devante Parker,WR,MIA,NYJ,8.40
Nelson Agholor,WR,PHI,WAS,8.27
Robby Anderson,WR,NYJ,MIA,8.01
Martavis Bryant,WR,PIT,CIN,8.08
Ricardo Louis,WR,CLE,TEN,7.86
Jamison Crowder,WR,WAS,PHI,7.69
Taylor Gabriel,WR,ATL,NE,7.90
Jordan Matthews,WR,BUF,TB,7.72
Willie Snead,WR,NO,GB,7.58
Sterling Shepard,WR,NYG,SEA,7.57
Adam Humphries,WR,TB,BUF,7.27
Jermaine Kearse,WR,NYJ,MIA,7.54
Tyler Lockett,WR,SEA,NYG,7.32
Travis Kelce,TE,KC,OAK,11.60
Jordan Reed,TE,WAS,PHI,9.40
Jimmy Graham,TE,SEA,NYG,9.30
Evan Engram,TE,NYG,SEA,9.19
Delanie Walker,TE,TEN,CLE,8.94
Austin Seferian-Jenkins,TE,NYJ,MIA,8.21
Kyle Rudolph,TE,MIN,BAL,8.08
Jason Witten,TE,DAL,SF,7.59
Cameron Brate,TE,TB,BUF,7.70
Hunter Henry,TE,LAC,DEN,7.55
Austin Hooper,TE,ATL,NE,7.33
Jared Cook,TE,OAK,KC,7.13
George Kittle,TE,SF,DAL,6.58
Jack Doyle,TE,IND,JAX,6.31
Zach Miller,TE,CHI,CAR,6.45
Benjamin Watson,TE,BAL,MIN,5.98
Ed Dickson,TE,CAR,CHI,6.16
Martellus Bennett,TE,GB,NO,6.06
Tyler Kroft,TE,CIN,PIT,5.94
Julius Thomas,TE,MIA,NYJ,5.82
Jermaine Gresham,TE,ARI,LAR,5.38
Coby Fleener,TE,NO,GB,5.58
Tyler Higbee,TE,LAR,ARI,5.25
Nick O'Leary,TE,BUF,TB,5.27
Jesse James,TE,PIT,CIN,4.93
Antonio Gates,TE,LAC,DEN,4.91
AJ Derby,TE,DEN,LAC,4.81
Marcedes Lewis,TE,JAX,IND,4.94
David Njoku,TE,CLE,TEN,4.56
Seth DeValve,TE,CLE,TEN,4.47
Vernon Davis,TE,WAS,PHI,4.14
Dion Sims,TE,CHI,CAR,3.36
Virgil Green,TE,DEN,LAC,3.08
Nick Boyle,TE,BAL,MIN,2.94
Jonnu Smith,TE,TEN,CLE,3.01
OJ Howard,TE,TB,BUF,2.81
Gerald Everett,TE,LAR,ARI,2.68
Luke Willson,TE,SEA,NYG,2.65
Rhett Ellison,TE,NYG,SEA,2.43
Jeff Heuerman,TE,DEN,LAC,2.39
Demetrius Harris,TE,KC,OAK,2.25
Trey Burton,TE,PHI,WAS,2.23
Troy Niklas,TE,ARI,LAR,2.19
Michael Hoomanawanui,TE,NO,GB,1.94
Vance McDonald,TE,PIT,CIN,2.08
Josh Hill,TE,NO,GB,1.86
Lance Kendricks,TE,GB,NO,1.81
James O'Shaughnessy,TE,JAX,IND,1.57
LeSean McCoy,RB,BUF,TB,17.03
Kareem Hunt,RB,KC,OAK,16.87
Todd Gurley,RB,LAR,ARI,16.31
Mark Ingram,RB,NO,GB,14.97
Leonard Fournette,RB,JAX,IND,15.26
Melvin Gordon,RB,LAC,DEN,13.88
Devonta Freeman,RB,ATL,NE,13.86
Alvin Kamara,RB,NO,GB,12.16
Jay Ajayi,RB,MIA,NYJ,13.53
Carlos Hyde,RB,SF,DAL,12.61
Christian McCaffrey,RB,CAR,CHI,10.96
Jerick McKinnon,RB,MIN,BAL,11.87
Jordan Howard,RB,CHI,CAR,12.22
CJ Anderson,RB,DEN,LAC,11.47
Doug Martin,RB,TB,BUF,10.99
Ty Montgomery,RB,GB,NO,10.31
Frank Gore,RB,IND,JAX,10.59
Tevin Coleman,RB,ATL,NE,9.88
Joe Mixon,RB,CIN,PIT,10.13
Javorius Allen,RB,BAL,MIN,9.48
Marshawn Lynch,RB,OAK,KC,10.72
Adrian Peterson,RB,ARI,LAR,10.58
James White,RB,NE,ATL,8.86
Chris Thompson,RB,WAS,PHI,8.84
Duke Johnson,RB,CLE,TEN,8.45
Isaiah Crowell,RB,CLE,TEN,9.52
Derrick Henry,RB,TEN,CLE,9.77
Bilal Powell,RB,NYJ,MIA,8.58
Jonathan Stewart,RB,CAR,CHI,9.42
DeMarco Murray,RB,TEN,CLE,8.45
Andre Ellington,RB,ARI,LAR,7.52
Wendell Smallwood,RB,PHI,WAS,8.06
Aaron Jones,RB,GB,NO,8.00
Tarik Cohen,RB,CHI,CAR,7.20
Orleans Darkwa,RB,NYG,SEA,7.85
Chris Ivory,RB,JAX,IND,7.03
Latavius Murray,RB,MIN,BAL,7.33
LeGarrette Blount,RB,PHI,WAS,7.66
Rob Kelley,RB,WAS,PHI,7.52
Mike Gillislee,RB,NE,ATL,7.65
Matt Forte,RB,NYJ,MIA,6.47
Alex Collins,RB,BAL,MIN,7.05
Marlon Mack,RB,IND,JAX,6.52
Giovani Bernard,RB,CIN,PIT,5.90
Matt Breida,RB,SF,DAL,6.03
Dion Lewis,RB,NE,ATL,6.27
CJ Prosise,RB,SEA,NYG,5.76
Wayne Gallman,RB,NYG,SEA,5.71
Jake Elliott,K,PHI,WAS,8.80
Harrison Butker,K,KC,OAK,8.80
Wil Lutz,K,NO,GB,8.60
Graham Gano,K,CAR,CHI,8.40
Ryan Succop,K,TEN,CLE,8.40
Greg Zuerlein,K,LAR,ARI,8.40
Steven Hauschka,K,BUF,TB,8.10
Kai Forbath,K,MIN,BAL,8.00
Matt Bryant,K,ATL,NE,8.00
Josh Lambo,K,JAX,IND,7.90
Chris Boswell,K,PIT,CIN,7.60
Mason Crosby,K,GB,NO,7.30
Phil Dawson,K,ARI,LAR,7.20
Brandon McManus,K,DEN,LAC,7.20
Nick Novak,K,LAC,DEN,7.10
Nick Rose,K,WAS,PHI,7.10
