,Player,Position,Team,Opponent,FantasyData_FantasyPoints,PlayerID
0,Drew Brees,QB,NO,GB,18.61,00-0020531
1,Matt Ryan,QB,ATL,NE,18.49,00-0026143
2,Marcus Mariota,QB,TEN,CLE,18.19,00-0032268
3,Cam Newton,QB,CAR,CHI,17.96,00-0027939
4,Carson Wentz,QB,PHI,WAS,17.79,00-0032950
5,Alex Smith,QB,KC,OAK,17.67,00-0023436
6,Kirk Cousins,QB,WAS,PHI,17.35,00-0029604
7,Russell Wilson,QB,SEA,NYG,16.67,00-0029263
8,Carson Palmer,QB,ARI,LAR,16.26,00-0021429
9,Tyrod Taylor,QB,BUF,TB,16.02,00-0028118
10,Derek Carr,QB,OAK,KC,15.54,00-0031280
11,Ben Roethlisberger,QB,PIT,CIN,15.44,00-0022924
12,Jared Goff,QB,LA,ARI,15.36,00-0033106
13,Jameis Winston,QB,TB,BUF,15.21,00-0031503
14,Philip Rivers,QB,LAC,DEN,14.76,00-0022942
15,Blake Bortles,QB,JAX,IND,14.6,00-0031407
16,Josh McCown,QB,NYJ,MIA,14.03,00-0021206
17,Brett Hundley,QB,GB,NO,14.08,00-0031589
18,Andy Dalton,QB,CIN,PIT,13.68,00-0027973
19,Trevor Siemian,QB,DEN,LAC,13.6,00-0032156
20,Jay Cutler,QB,MIA,NYJ,13.59,00-0024226
21,Deshone Kizer,QB,CLE,TEN,13.47,00-0033899
22,CJ Beathard,QB,SF,DAL,13.33,00-0033936
23,Eli Manning,QB,NYG,SEA,12.83,00-0022803
24,Case Keenum,QB,MIN,BAL,12.75,00-0028986
25,Jacoby Brissett,QB,IND,JAX,11.88,00-0033119
26,Mitch Trubisky,QB,CHI,CAR,11.08,00-0033869
27,Joe Flacco,QB,BAL,MIN,10.9,00-0026158
28,Ryan Fitzpatrick,QB,TB,BUF,1.16,00-0023682
29,Kevin Hogan,QB,CLE,TEN,0.86,00-0032784
30,Brock Osweiler,QB,DEN,LAC,0.4,00-0029682
31,Brian Hoyer,QB,SF,DAL,0.33,00-0026625
32,Matt Moore,QB,MIA,NYJ,0.29,00-0025708
33,Bryce Petty,QB,NYJ,MIA,0.28,00-0031568
34,Nick Foles,QB,PHI,WAS,0.26,00-0029567
35,Mike Glennon,QB,CHI,CAR,0.25,00-0030520
36,Geno Smith,QB,NYG,SEA,0.25,00-0030565
37,Drew Stanton,QB,ARI,LAR,0.24,00-0025430
38,Landry Jones,QB,PIT,CIN,0.24,00-0030524
39,AJ McCarron,QB,CIN,PIT,0.23,00-0031288
40,Austin Davis,QB,SEA,NYG,0.22,00-0028957
41,Jimmy Garoppolo,QB,NE,ATL,0.22,00-0031345
42,EJ Manuel,QB,OAK,KC,0.21,00-0030526
43,Colt McCoy,QB,WAS,PHI,0.21,00-0027688
44,Derek Anderson,QB,CAR,CHI,0.2,00-0023645
45,Sean Mannion,QB,LA,ARI,0.2,00-0032245
46,Ryan Mallett,QB,BAL,MIN,0.2,00-0028012
47,Patrick Mahomes,QB,KC,OAK,0.19,00-0033873
48,AJ Green,WR,CIN,PIT,13.59,00-0027942
49,Michael Thomas,WR,NO,GB,13.31,00-0032765
50,Larry Fitzgerald,WR,ARI,LAR,12.37,00-0022921
51,Dez Bryant,WR,DAL,SF,12.92,00-0027902
52,Demaryius Thomas,WR,DEN,LAC,12.33,00-0027874
53,Mike Evans,WR,TB,BUF,12.69,00-0031408
54,Brandin Cooks,WR,NE,ATL,12.1,00-0031236
55,Michael Crabtree,WR,OAK,KC,11.87,00-0026986
56,Doug Baldwin,WR,SEA,NYG,11.55,00-0028434
57,Jordy Nelson,WR,GB,NO,11.67,00-0026176
58,Jarvis Landry,WR,MIA,NYJ,11.07,00-0031382
59,Pierre Garcon,WR,SF,DAL,11.23,00-0026345
60,Chris Hogan,WR,NE,ATL,11.58,00-0028237
61,Adam Thielen,WR,MIN,BAL,10.95,00-0030035
62,TY Hilton,WR,IND,JAX,11.15,00-0029608
63,Tyreek Hill,WR,KC,OAK,10.75,00-0033040
64,Keenan Allen,WR,LAC,DEN,10.1,00-0030279
65,Rishard Matthews,WR,TEN,CLE,10.1,00-0029580
66,Alshon Jeffery,WR,PHI,WAS,10.23,00-0029137
67,Devin Funchess,WR,CAR,CHI,9.72,00-0032055
68,Davante Adams,WR,GB,NO,9.83,00-0031381
69,Kelvin Benjamin,WR,CAR,CHI,9.5,00-0031359
70,DeSean Jackson,WR,TB,BUF,9.49,00-0026189
71,Terrelle Pryor,WR,WAS,PHI,9.16,00-0028825
72,Danny Amendola,WR,NE,ATL,8.86,00-0026035
73,Eric Decker,WR,TEN,CLE,9.15,00-0027690
74,Randall Cobb,WR,GB,NO,9.02,00-0028002
75,Ted Ginn,WR,NO,GB,8.89,00-0025396
76,Robert Woods,WR,LA,ARI,8.54,00-0030431
77,Allen Hurns,WR,JAX,IND,8.55,00-0030821
78,Amari Cooper,WR,OAK,KC,8.62,00-0031544
79,John Brown,WR,ARI,LAR,8.64,00-0031051
80,Mohamed Sanu,WR,ATL,NE,8.35,00-0029632
81,Cooper Kupp,WR,LA,ARI,8.36,00-0033908
82,Marqise Lee,WR,JAX,IND,8.03,00-0031431
83,Devante Parker,WR,MIA,NYJ,8.4,00-0031547
84,Nelson Agholor,WR,PHI,WAS,8.27,00-0031549
85,Robby Anderson,WR,NYJ,MIA,8.01,00-0032688
86,Martavis Bryant,WR,PIT,CIN,8.08,00-0031373
87,Ricardo Louis,WR,CLE,TEN,7.86,00-0033079
88,Jamison Crowder,WR,WAS,PHI,7.69,00-0031941
89,Taylor Gabriel,WR,ATL,NE,7.9,00-0031228
90,Jordan Matthews,WR,BUF,TB,7.72,00-0031299
91,Willie Snead,WR,NO,GB,7.58,00-0030663
92,Sterling Shepard,WR,NYG,SEA,7.57,00-0032385
93,Adam Humphries,WR,TB,BUF,7.27,00-0032009
94,Jermaine Kearse,WR,NYJ,MIA,7.54,00-0029159
95,Tyler Lockett,WR,SEA,NYG,7.32,00-0032211
96,Travis Kelce,TE,KC,OAK,11.6,00-0030506
97,Jordan Reed,TE,WAS,PHI,9.4,00-0030472
98,Jimmy Graham,TE,SEA,NYG,9.3,00-0027696
99,Evan Engram,TE,NYG,SEA,9.19,00-0033881
100,Delanie Walker,TE,TEN,CLE,8.94,00-0024389
101,Austin Seferian-Jenkins,TE,NYJ,MIA,8.21,00-0031418
102,Kyle Rudolph,TE,MIN,BAL,8.08,00-0027981
103,Jason Witten,TE,DAL,SF,7.59,00-0022127
104,Cameron Brate,TE,TB,BUF,7.7,00-0031273
105,Hunter Henry,TE,LAC,DEN,7.55,00-0033090
106,Austin Hooper,TE,ATL,NE,7.33,00-0032392
107,Jared Cook,TE,OAK,KC,7.13,00-0027061
108,George Kittle,TE,SF,DAL,6.58,00-0033288
109,Jack Doyle,TE,IND,JAX,6.31,00-0030181
110,Zach Miller,TE,CHI,CAR,6.45,00-0027125
111,Benjamin Watson,TE,BAL,MIN,5.98,00-0022943
112,Ed Dickson,TE,CAR,CHI,6.16,00-0027675
113,Martellus Bennett,TE,GB,NO,6.06,00-0026201
114,Tyler Kroft,TE,CIN,PIT,5.94,00-0032214
115,Julius Thomas,TE,MIA,NYJ,5.82,00-0028067
116,Jermaine Gresham,TE,ARI,LAR,5.38,00-0027873
117,Coby Fleener,TE,NO,GB,5.58,00-0029697
118,Tyler Higbee,TE,LA,ARI,5.25,00-0033110
119,Nick O'Leary,TE,BUF,TB,5.27,00-0032117
120,Jesse James,TE,PIT,CIN,4.93,00-0032135
121,Antonio Gates,TE,LAC,DEN,4.91,00-0021547
122,AJ Derby,TE,DEN,LAC,4.81,00-0031609
123,Marcedes Lewis,TE,JAX,IND,4.94,00-0024243
124,David Njoku,TE,CLE,TEN,4.56,00-0033885
125,Seth DeValve,TE,CLE,TEN,4.47,00-0033080
126,Vernon Davis,TE,WAS,PHI,4.14,00-0024221
127,Dion Sims,TE,CHI,CAR,3.36,00-0030422
128,Virgil Green,TE,DEN,LAC,3.08,00-0028142
129,Nick Boyle,TE,BAL,MIN,2.94,00-0031598
130,Jonnu Smith,TE,TEN,CLE,3.01,00-0033858
131,OJ Howard,TE,TB,BUF,2.81,00-0033879
132,Gerald Everett,TE,LA,ARI,2.68,00-0033895
133,Luke Willson,TE,SEA,NYG,2.65,00-0030089
134,Rhett Ellison,TE,NYG,SEA,2.43,00-0029587
135,Jeff Heuerman,TE,DEN,LAC,2.39,00-0032227
136,Demetrius Harris,TE,KC,OAK,2.25,00-0030155
137,Trey Burton,TE,PHI,WAS,2.23,00-0030710
138,Troy Niklas,TE,ARI,LAR,2.19,00-0031044
139,Michael Hoomanawanui,TE,NO,GB,1.94,00-0027732
140,Vance McDonald,TE,PIT,CIN,2.08,00-0030470
141,Josh Hill,TE,NO,GB,1.86,00-0030216
142,Lance Kendricks,TE,GB,NO,1.81,00-0027985
143,James O'Shaughnessy,TE,JAX,IND,1.57,00-0031951
144,LeSean McCoy,RB,BUF,TB,17.03,00-0027029
145,Kareem Hunt,RB,KC,OAK,16.87,00-0033923
146,Todd Gurley,RB,LA,ARI,16.31,00-0032241
147,Mark Ingram,RB,NO,GB,14.97,00-0027966
148,Leonard Fournette,RB,JAX,IND,15.26,00-0033856
149,Melvin Gordon,RB,LAC,DEN,13.88,00-0032144
150,Devonta Freeman,RB,ATL,NE,13.86,00-0031285
151,Alvin Kamara,RB,NO,GB,12.16,00-0033906
152,Jay Ajayi,RB,MIA,NYJ,13.53,00-0031590
153,Carlos Hyde,RB,SF,DAL,12.61,00-0031045
154,Christian McCaffrey,RB,CAR,CHI,10.96,00-0033280
155,Jerick McKinnon,RB,MIN,BAL,11.87,00-0031376
156,Jordan Howard,RB,CHI,CAR,12.22,00-0032780
157,CJ Anderson,RB,DEN,LAC,11.47,00-0029854
158,Doug Martin,RB,TB,BUF,10.99,00-0029613
159,Ty Montgomery,RB,GB,NO,10.31,00-0032200
160,Frank Gore,RB,IND,JAX,10.59,00-0023500
161,Tevin Coleman,RB,ATL,NE,9.88,00-0032058
162,Joe Mixon,RB,CIN,PIT,10.13,00-0033897
163,Javorius Allen,RB,BAL,MIN,9.48,00-0031577
164,Marshawn Lynch,RB,OAK,KC,10.72,00-0025399
165,Adrian Peterson,RB,ARI,LAR,10.58,00-0025394
