Player,Position,Team,Opponent,ESPN_FantasyPoints
Le'Veon Bell,RB,PIT,Det,22.5
LeSean McCoy,RB,BUF,Oak,21.9
Ezekiel Elliott,RB,DAL,Wsh,19.4
Antonio Brown,WR,PIT,Det,19.1
Mark Ingram,RB,NO,Chi,18.6
Tom Brady,QB,NE,LAC,18.5
Carson Wentz,QB,PHI,SF,18
A.J. Green,WR,CIN,Ind,18
Kareem Hunt,RB,KC,Den,17.8
Dak Prescott,QB,DAL,Wsh,17.8
Russell Wilson,QB,SEA,Hou,17.8
Drew Brees,QB,NO,Chi,17.7
Tyrod Taylor,QB,BUF,Oak,17.7
Melvin Gordon,RB,LAC,NE,17.6
Philip Rivers,QB,LAC,NE,17.5
Andy Dalton,QB,CIN,Ind,17.4
Kirk Cousins,QB,WSH,Dal,17.3
Cam Newton,QB,CAR,TB,17.1
Keenan Allen,WR,LAC,NE,17
Matthew Stafford,QB,DET,Pit,16.7
Matt Ryan,QB,ATL,NYJ,16.6
Julio Jones,WR,ATL,NYJ,16.4
Jameis Winston,QB,TB,Car,16.3
Devonta Freeman,RB,ATL,NYJ,16.2
Alex Smith,QB,KC,Den,15.8
Christian McCaffrey,RB,CAR,TB,15.5
Deshaun Watson,QB,HOU,Sea,15.4
Mike Evans,WR,TB,Car,15.4
Zach Ertz,TE,PHI,SF,15.4
Ben Roethlisberger,QB,PIT,Det,15.1
Michael Thomas,WR,NO,Chi,15
DeAndre Hopkins,WR,HOU,Sea,15
Dez Bryant,WR,DAL,Wsh,14.8
Demaryius Thomas,WR,DEN,KC,14.8
Doug Baldwin,WR,SEA,Hou,14.7
Josh McCown,QB,NYJ,Atl,14.7
Rob Gronkowski,TE,NE,LAC,14.6
Alvin Kamara,RB,NO,Chi,14.5
Trevor Siemian,QB,DEN,KC,14.5
Jay Ajayi,RB,MIA,Bal,14.3
Derek Carr,QB,OAK,Buf,14.1
Vikings,DST,VIKINGS,Cle,14.1
Mitchell Trubisky,QB,CHI,NO,13.6
Jordan Howard,RB,CHI,NO,13.6
Joe Mixon,RB,CIN,Ind,13.4
Pierre Garcon,WR,SF,Phi,13.3
Travis Kelce,TE,KC,Den,13.2
Hunter Henry,TE,LAC,NE,13.2
Case Keenum,QB,MIN,Cle,13.2
Stefon Diggs,WR,MIN,Cle,13.2
Tyreek Hill,WR,KC,Den,13.2
Jarvis Landry,WR,MIA,Bal,12.9
Lamar Miller,RB,HOU,Sea,12.8
Chris Hogan,WR,NE,LAC,12.8
Alshon Jeffery,WR,PHI,SF,12.7
Kelvin Benjamin,WR,CAR,TB,12.6
Michael Crabtree,WR,OAK,Buf,12.4
Jacoby Brissett,QB,IND,Cin,12.4
Joe Flacco,QB,BAL,Mia,12.3
Jerick McKinnon,RB,MIN,Cle,12.2
T.Y. Hilton,WR,IND,Cin,12.2
Devin Funchess,WR,CAR,TB,12.2
Javorius Allen,RB,BAL,Mia,12.1
Doug Martin,RB,TB,Car,12.1
Brandin Cooks,WR,NE,LAC,12
C.J. Beathard,QB,SF,Phi,11.9
Adam Thielen,WR,MIN,Cle,11.9
Carlos Hyde,RB,SF,Phi,11.9
Chris Thompson,RB,WSH,Dal,11.8
C.J. Anderson,RB,DEN,KC,11.7
DeSean Jackson,WR,TB,Car,11.6
Jordan Reed,TE,WSH,Dal,11.5
Tevin Coleman,RB,ATL,NYJ,11.5
Jonathan Stewart,RB,CAR,TB,11.5
Amari Cooper,WR,OAK,Buf,11.4
Matt Moore,QB,MIA,Bal,11.4
Wendell Smallwood,RB,PHI,SF,11.4
DeAndre Washington,RB,OAK,Buf,11.3
Jimmy Graham,TE,SEA,Hou,11.2
