,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
0,Le'Veon Bell,RB,PIT,Det,22.5,00-0030496
1,LeSean McCoy,RB,BUF,Oak,21.9,00-0027029
2,Ezekiel Elliott,RB,DAL,Wsh,19.4,00-0033045
3,Antonio Brown,WR,PIT,Det,19.1,00-0027793
4,Mark Ingram,RB,NO,Chi,18.6,00-0027966
5,Tom Brady,QB,NE,LAC,18.5,00-0019596
6,Carson Wentz,QB,PHI,SF,18,00-0032950
7,A.J. Green,WR,CIN,Ind,18,00-0027942
8,Kareem Hunt,RB,KC,Den,17.8,00-0033923
9,Dak Prescott,QB,DAL,Wsh,17.8,00-0033077
10,Russell Wilson,QB,SEA,Hou,17.8,00-0029263
11,Drew Brees,QB,NO,Chi,17.7,00-0020531
12,Tyrod Taylor,QB,BUF,Oak,17.7,00-0028118
13,Melvin Gordon,RB,LAC,NE,17.6,00-0032144
14,Philip Rivers,QB,LAC,NE,17.5,00-0022942
15,Andy Dalton,QB,CIN,Ind,17.4,00-0027973
16,Kirk Cousins,QB,WSH,Dal,17.3,00-0029604
17,Cam Newton,QB,CAR,TB,17.1,00-0027939
18,Keenan Allen,WR,LAC,NE,17,00-0030279
19,Matthew Stafford,QB,DET,Pit,16.7,00-0026498
20,Matt Ryan,QB,ATL,NYJ,16.6,00-0026143
21,Julio Jones,WR,ATL,NYJ,16.4,00-0027944
22,Jameis Winston,QB,TB,Car,16.3,00-0031503
23,Devonta Freeman,RB,ATL,NYJ,16.2,00-0031285
24,Alex Smith,QB,KC,Den,15.8,00-0023436
25,Christian McCaffrey,RB,CAR,TB,15.5,00-0033280
26,Deshaun Watson,QB,HOU,Sea,15.4,00-0033537
27,Mike Evans,WR,TB,Car,15.4,00-0031408
28,Zach Ertz,TE,PHI,SF,15.4,00-0030061
29,Ben Roethlisberger,QB,PIT,Det,15.1,00-0022924
30,Michael Thomas,WR,NO,Chi,15,00-0032765
31,DeAndre Hopkins,WR,HOU,Sea,15,00-0030564
32,Dez Bryant,WR,DAL,Wsh,14.8,00-0027902
33,Demaryius Thomas,WR,DEN,KC,14.8,00-0027874
34,Doug Baldwin,WR,SEA,Hou,14.7,00-0028434
35,Josh McCown,QB,NYJ,Atl,14.7,00-0021206
36,Rob Gronkowski,TE,NE,LAC,14.6,00-0027656
37,Alvin Kamara,RB,NO,Chi,14.5,00-0033906
38,Trevor Siemian,QB,DEN,KC,14.5,00-0032156
39,Jay Ajayi,RB,MIA,Bal,14.3,00-0031590
40,Derek Carr,QB,OAK,Buf,14.1,00-0031280
41,Vikings,DST,VIKINGS,Cle,14.1,
42,Mitchell Trubisky,QB,CHI,NO,13.6,00-0033869
43,Jordan Howard,RB,CHI,NO,13.6,00-0032780
44,Joe Mixon,RB,CIN,Ind,13.4,00-0033897
45,Pierre Garcon,WR,SF,Phi,13.3,00-0026345
46,Travis Kelce,TE,KC,Den,13.2,00-0030506
47,Hunter Henry,TE,LAC,NE,13.2,00-0033090
48,Case Keenum,QB,MIN,Cle,13.2,00-0028986
49,Stefon Diggs,WR,MIN,Cle,13.2,00-0031588
50,Tyreek Hill,WR,KC,Den,13.2,00-0033040
51,Jarvis Landry,WR,MIA,Bal,12.9,00-0031382
52,Lamar Miller,RB,HOU,Sea,12.8,00-0029615
53,Chris Hogan,WR,NE,LAC,12.8,00-0028237
54,Alshon Jeffery,WR,PHI,SF,12.7,00-0029137
55,Kelvin Benjamin,WR,CAR,TB,12.6,00-0031359
56,Michael Crabtree,WR,OAK,Buf,12.4,00-0026986
57,Jacoby Brissett,QB,IND,Cin,12.4,00-0033119
58,Joe Flacco,QB,BAL,Mia,12.3,00-0026158
59,Jerick McKinnon,RB,MIN,Cle,12.2,00-0031376
60,T.Y. Hilton,WR,IND,Cin,12.2,00-0029608
61,Devin Funchess,WR,CAR,TB,12.2,00-0032055
62,Javorius Allen,RB,BAL,Mia,12.1,00-0031577
63,Doug Martin,RB,TB,Car,12.1,00-0029613
64,Brandin Cooks,WR,NE,LAC,12,00-0031236
65,C.J. Beathard,QB,SF,Phi,11.9,00-0033936
66,Adam Thielen,WR,MIN,Cle,11.9,00-0030035
67,Carlos Hyde,RB,SF,Phi,11.9,00-0031045
68,Chris Thompson,RB,WSH,Dal,11.8,00-0030404
69,C.J. Anderson,RB,DEN,KC,11.7,00-0029854
70,DeSean Jackson,WR,TB,Car,11.6,00-0026189
71,Jordan Reed,TE,WSH,Dal,11.5,00-0030472
72,Tevin Coleman,RB,ATL,NYJ,11.5,00-0032058
73,Jonathan Stewart,RB,CAR,TB,11.5,00-0026153
74,Amari Cooper,WR,OAK,Buf,11.4,00-0031544
75,Matt Moore,QB,MIA,Bal,11.4,00-0025708
76,Wendell Smallwood,RB,PHI,SF,11.4,00-0032782
77,DeAndre Washington,RB,OAK,Buf,11.3,00-0032940
78,Jimmy Graham,TE,SEA,Hou,11.2,00-0027696
79,Marvin Jones Jr.,WR,DET,Pit,11.2,00-0029293
80,DeShone Kizer,QB,CLE,Min,11.1,00-0033899
81,Ameer Abdullah,RB,DET,Pit,10.9,00-0032104
82,Bengals,DST,BENGALS,Ind,10.9,
83,Bilal Powell,RB,NYJ,Atl,10.8,00-0028064
84,Rob Kelley,RB,WSH,Dal,10.8,00-0032371
85,Theo Riddick,RB,DET,Pit,10.7,00-0030107
86,DeVante Parker,WR,MIA,Bal,10.7,00-0031547
87,Austin Seferian-Jenkins,TE,NYJ,Atl,10.6,00-0031418
88,Latavius Murray,RB,MIN,Cle,10.5,00-0030513
89,LeGarrette Blount,RB,PHI,SF,10.5,00-0027325
90,James White,RB,NE,LAC,10.4,00-0031062
91,Mohamed Sanu,WR,ATL,NYJ,10.4,00-0029632
92,Frank Gore,RB,IND,Cin,10.3,00-0023500
93,Eagles,DST,EAGLES,SF,10.3,
94,Jake Elliott,K,PHI,SF,10.3,00-0033787
95,Jalen Richard,RB,OAK,Buf,10.3,00-0033025
96,Kenny Golladay,WR,DET,Pit,10.3,00-0033932
97,Duke Johnson Jr.,RB,CLE,Min,10.2,00-0032257
98,Jeremy Maclin,WR,BAL,Mia,10.2,00-0026995
99,Will Fuller V,WR,HOU,Sea,10.2,00-0033127
100,Nelson Agholor,WR,PHI,SF,10.2,00-0031549
101,Jermaine Kearse,WR,NYJ,Atl,10.1,00-0029159
102,Stephen Gostkowski,K,NE,LAC,10,00-0024333
103,Matt Forte,RB,NYJ,Atl,9.9,00-0026184
104,Tarik Cohen,RB,CHI,NO,9.8,00-0033556
105,Jamison Crowder,WR,WSH,Dal,9.8,00-0031941
106,Robby Anderson,WR,NYJ,Atl,9.8,00-0032688
107,Bennie Fowler III,WR,DEN,KC,9.8,00-0030670
108,Alex Collins,RB,BAL,Mia,9.7,00-0032426
109,Jason Witten,TE,DAL,Wsh,9.6,00-0022127
110,Cameron Brate,TE,TB,Car,9.6,00-0031273
111,Jordan Matthews,WR,BUF,Oak,9.4,00-0031299
112,Tyler Lockett,WR,SEA,Hou,9.3,00-0032211
113,Jared Cook,TE,OAK,Buf,9.2,00-0027061
114,Zach Miller,TE,CHI,NO,9.2,00-0027125
115,Cole Beasley,WR,DAL,Wsh,9.2,00-0029000
116,Marquise Goodwin,WR,SF,Phi,9,00-0030068
117,Justin Tucker,K,BAL,Mia,9,00-0029597
118,Josh Doctson,WR,WSH,Dal,9,00-0032760
119,Harrison Butker,K,KC,Den,9,00-0033303
120,Dion Lewis,RB,NE,LAC,8.9,00-0028087
121,Nick Rose,K,WSH,Dal,8.8,
122,Mike Wallace,WR,BAL,Mia,8.8,00-0026901
123,Kai Forbath,K,MIN,Cle,8.8,00-0028787
124,Martavis Bryant,WR,PIT,Det,8.7,00-0031373
125,Isaiah Crowell,RB,CLE,Min,8.7,00-0030656
126,Kyle Rudolph,TE,MIN,Cle,8.6,00-0027981
127,Giovani Bernard,RB,CIN,Ind,8.6,00-0030456
128,Stephen Hauschka,K,BUF,Oak,8.6,00-0025944
129,Graham Gano,K,CAR,TB,8.6,00-0026858
130,Taylor Gabriel,WR,ATL,NYJ,8.6,00-0031228
131,Chris Boswell,K,PIT,Det,8.6,00-0031136
132,Danny Amendola,WR,NE,LAC,8.6,00-0026035
133,Ricardo Louis,WR,CLE,Min,8.5,00-0033079
134,Wil Lutz,K,NO,Chi,8.5,00-0032569
135,Matt Prater,K,DET,Pit,8.5,00-0023853
136,Matt Bryant,K,ATL,NYJ,8.4,00-0020578
137,Kendall Wright,WR,CHI,NO,8.3,00-0029708
138,Ed Dickson,TE,CAR,TB,8.3,00-0027675
139,Donte Moncrief,WR,IND,Cin,8.3,00-0031339
140,Terrance Williams,WR,DAL,Wsh,8.3,00-0030542
141,Tyler Kroft,TE,CIN,Ind,8.3,00-0032214
142,Tyrell Williams,WR,LAC,NE,8.3,00-0032160
143,Paul Richardson,WR,SEA,Hou,8.3,00-0031257
144,Randy Bullock,K,CIN,Ind,8.2,00-0029421
145,Brandon LaFell,WR,CIN,Ind,8.1,00-0027681
146,Willie Snead,WR,NO,Chi,8.1,00-0030663
