Player,Position,Team,Opponent,FantasyFootball_FantasyPoints
Tom Brady,QB,NE,LAC,28.5
Dak Prescott,QB,DAL,@WAS,28.0
Carson Wentz,QB,PHI,SF,27.3
Cam Newton,QB,CAR,@TB,25.8
Kirk Cousins,QB,WAS,DAL,24.8
Russell Wilson,QB,SEA,HOU,23.8
Jacoby Brissett,QB,IND,@CIN,23.3
Jameis Winston,QB,TB,CAR,23.3
Andy Dalton,QB,CIN,IND,23.0
Drew Brees,QB,NO,CHI,22.5
Philip Rivers,QB,LAC,@NE,22.3
Josh McCown,QB,NYJ,ATL,21.8
Derek Carr,QB,OAK,@BUF,21.5
Matthew Stafford,QB,DET,PIT,21.5
Ben Roethlisberger,QB,PIT,@DET,20.8
Tyrod Taylor,QB,BUF,OAK,19.5
Alex Smith,QB,KC,DEN,19.0
Deshaun Watson,QB,HOU,@SEA,19.0
C.J. Beathard,QB,SF,@PHI,18.5
Matt Ryan,QB,ATL,@NYJ,17.3
Trevor Siemian,QB,DEN,@KC,17.0
Case Keenum,QB,MIN,@CLE,16.5
DeShone Kizer,QB,CLE,MIN,16.5
Mitchell Trubisky,QB,CHI,@NO,15.8
Matt Moore,QB,MIA,@BAL,15.0
Joe Flacco,QB,BAL,MIA,14.8
Antonio Brown,WR,PIT,@DET,17.0
A.J. Green,WR,CIN,IND,16.5
T.Y. Hilton,WR,IND,@CIN,15.5
Julio Jones,WR,ATL,@NYJ,15.5
Demaryius Thomas,WR,DEN,@KC,15.5
Mike Evans,WR,TB,CAR,15.0
Doug Baldwin,WR,SEA,HOU,14.5
Kelvin Benjamin,WR,CAR,@TB,14.5
Adam Thielen,WR,MIN,@CLE,14.5
Keenan Allen,WR,LAC,@NE,14.0
Michael Crabtree,WR,OAK,@BUF,14.0
Michael Thomas,WR,NO,CHI,14.0
Dez Bryant,WR,DAL,@WAS,13.5
Devin Funchess,WR,CAR,@TB,13.5
Pierre Garcon,WR,SF,@PHI,13.5
DeAndre Hopkins,WR,HOU,@SEA,13.5
Jarvis Landry,WR,MIA,@BAL,13.5
