,Player,Position,Team,Opponent,FantasyFootball_FantasyPoints,PlayerID
0,Tom Brady,QB,NE,LAC,28.5,00-0019596
1,Dak Prescott,QB,DAL,@WAS,28.0,00-0033077
2,Carson Wentz,QB,PHI,SF,27.3,00-0032950
3,Cam Newton,QB,CAR,@TB,25.8,00-0027939
4,Kirk Cousins,QB,WAS,DAL,24.8,00-0029604
5,Russell Wilson,QB,SEA,HOU,23.8,00-0029263
6,Jacoby Brissett,QB,IND,@CIN,23.3,00-0033119
7,Jameis Winston,QB,TB,CAR,23.3,00-0031503
8,Andy Dalton,QB,CIN,IND,23.0,00-0027973
9,Drew Brees,QB,NO,CHI,22.5,00-0020531
10,Philip Rivers,QB,LAC,@NE,22.3,00-0022942
11,Josh McCown,QB,NYJ,ATL,21.8,00-0021206
12,Derek Carr,QB,OAK,@BUF,21.5,00-0031280
13,Matthew Stafford,QB,DET,PIT,21.5,00-0026498
14,Ben Roethlisberger,QB,PIT,@DET,20.8,00-0022924
15,Tyrod Taylor,QB,BUF,OAK,19.5,00-0028118
16,Alex Smith,QB,KC,DEN,19.0,00-0023436
17,Deshaun Watson,QB,HOU,@SEA,19.0,00-0033537
18,C.J. Beathard,QB,SF,@PHI,18.5,00-0033936
19,Matt Ryan,QB,ATL,@NYJ,17.3,00-0026143
20,Trevor Siemian,QB,DEN,@KC,17.0,00-0032156
21,Case Keenum,QB,MIN,@CLE,16.5,00-0028986
22,DeShone Kizer,QB,CLE,MIN,16.5,00-0033899
23,Mitchell Trubisky,QB,CHI,@NO,15.8,00-0033869
24,Matt Moore,QB,MIA,@BAL,15.0,00-0025708
25,Joe Flacco,QB,BAL,MIA,14.8,00-0026158
26,Antonio Brown,WR,PIT,@DET,17.0,00-0027793
27,A.J. Green,WR,CIN,IND,16.5,00-0027942
28,T.Y. Hilton,WR,IND,@CIN,15.5,00-0029608
29,Julio Jones,WR,ATL,@NYJ,15.5,00-0027944
30,Demaryius Thomas,WR,DEN,@KC,15.5,00-0027874
31,Mike Evans,WR,TB,CAR,15.0,00-0031408
32,Doug Baldwin,WR,SEA,HOU,14.5,00-0028434
33,Kelvin Benjamin,WR,CAR,@TB,14.5,00-0031359
34,Adam Thielen,WR,MIN,@CLE,14.5,00-0030035
35,Keenan Allen,WR,LAC,@NE,14.0,00-0030279
